maintained,technique,is,OUTFAROUP,and,the,number,is,40
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,50,135
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,51,140
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,2,130
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,3,130
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,4,130
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,5,130
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,6,130
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,7,130
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,8,130
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,9,130
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,10,130
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,11,130
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,12,130
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,13,125
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,14,125
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,15,125
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,16,125
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,17,125
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,18,125
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,19,125
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,20,125
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,21,125
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,22,125
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,23,125
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,24,125
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,25,125
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,26,125
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,27,125
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,28,125
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,29,125
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,30,125
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,31,125
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,32,125
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,33,125
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,34,125
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,35,125
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,36,125
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,37,125
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,38,125
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,39,125
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,40,135
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,41,130
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,42,130
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,43,130
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,44,130
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,45,130
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,46,130
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,47,130
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,48,130
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,49,130
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,50,130
outfaroup,40,outfaroup,40,outfaroup,40,slipcut,51,130
outfaroup,40,outfaroup,40,outfaroup,40,peal,2,135
outfaroup,40,outfaroup,40,outfaroup,40,peal,3,135
outfaroup,40,outfaroup,40,outfaroup,40,peal,4,135
outfaroup,40,outfaroup,40,outfaroup,40,peal,5,135
outfaroup,40,outfaroup,40,outfaroup,40,peal,6,135
outfaroup,40,outfaroup,40,outfaroup,40,peal,7,135
outfaroup,40,outfaroup,40,outfaroup,40,peal,8,135
outfaroup,40,outfaroup,40,outfaroup,40,peal,9,135
outfaroup,40,outfaroup,40,outfaroup,40,peal,10,135
outfaroup,40,outfaroup,40,outfaroup,40,peal,11,135
outfaroup,40,outfaroup,40,outfaroup,40,peal,12,135
outfaroup,40,outfaroup,40,outfaroup,40,peal,13,135
outfaroup,40,outfaroup,40,outfaroup,40,peal,14,125
outfaroup,40,outfaroup,40,outfaroup,40,peal,15,125
outfaroup,40,outfaroup,40,outfaroup,40,peal,16,115
outfaroup,40,outfaroup,40,outfaroup,40,peal,17,115
outfaroup,40,outfaroup,40,outfaroup,40,peal,18,105
outfaroup,40,outfaroup,40,outfaroup,40,peal,19,105
outfaroup,40,outfaroup,40,outfaroup,40,peal,20,95
outfaroup,40,outfaroup,40,outfaroup,40,peal,21,95
outfaroup,40,outfaroup,40,outfaroup,40,peal,22,85
outfaroup,40,outfaroup,40,outfaroup,40,peal,23,85
outfaroup,40,outfaroup,40,outfaroup,40,peal,24,75
outfaroup,40,outfaroup,40,outfaroup,40,peal,25,75
outfaroup,40,outfaroup,40,outfaroup,40,peal,26,65
outfaroup,40,outfaroup,40,outfaroup,40,peal,27,65
outfaroup,40,outfaroup,40,outfaroup,40,peal,28,55
outfaroup,40,outfaroup,40,outfaroup,40,peal,29,60
outfaroup,40,outfaroup,40,outfaroup,40,peal,30,45
outfaroup,40,outfaroup,40,outfaroup,40,peal,31,45
outfaroup,40,outfaroup,40,outfaroup,40,peal,32,40
outfaroup,40,outfaroup,40,outfaroup,40,peal,33,35
outfaroup,40,outfaroup,40,outfaroup,40,peal,34,25
outfaroup,40,outfaroup,40,outfaroup,40,peal,35,30
outfaroup,40,outfaroup,40,outfaroup,40,peal,36,15
outfaroup,40,outfaroup,40,outfaroup,40,peal,37,15
outfaroup,40,outfaroup,40,outfaroup,40,peal,38,10
outfaroup,40,outfaroup,40,outfaroup,40,peal,39,5
outfaroup,40,outfaroup,40,outfaroup,40,peal,40,5
outfaroup,40,outfaroup,40,outfaroup,40,peal,41,10
outfaroup,40,outfaroup,40,outfaroup,40,peal,42,0
outfaroup,40,outfaroup,40,outfaroup,40,peal,43,5
outfaroup,40,outfaroup,40,outfaroup,40,peal,44,5
outfaroup,40,outfaroup,40,outfaroup,40,peal,45,5
outfaroup,40,outfaroup,40,outfaroup,40,peal,46,0
outfaroup,40,outfaroup,40,outfaroup,40,peal,47,10
outfaroup,40,outfaroup,40,outfaroup,40,peal,48,0
outfaroup,40,outfaroup,40,outfaroup,40,peal,49,5
outfaroup,40,outfaroup,40,outfaroup,40,peal,50,5
outfaroup,40,outfaroup,40,outfaroup,40,peal,51,5
outfaroup,40,outfaroup,40,outfaroup,40,pealup,2,130
outfaroup,40,outfaroup,40,outfaroup,40,pealup,3,130
outfaroup,40,outfaroup,40,outfaroup,40,pealup,4,135
outfaroup,40,outfaroup,40,outfaroup,40,pealup,5,130
outfaroup,40,outfaroup,40,outfaroup,40,pealup,6,130
outfaroup,40,outfaroup,40,outfaroup,40,pealup,7,135
outfaroup,40,outfaroup,40,outfaroup,40,pealup,8,130
outfaroup,40,outfaroup,40,outfaroup,40,pealup,9,130
outfaroup,40,outfaroup,40,outfaroup,40,pealup,10,135
outfaroup,40,outfaroup,40,outfaroup,40,pealup,11,130
outfaroup,40,outfaroup,40,outfaroup,40,pealup,12,130
outfaroup,40,outfaroup,40,outfaroup,40,pealup,13,130
outfaroup,40,outfaroup,40,outfaroup,40,pealup,14,120
outfaroup,40,outfaroup,40,outfaroup,40,pealup,15,115
outfaroup,40,outfaroup,40,outfaroup,40,pealup,16,115
outfaroup,40,outfaroup,40,outfaroup,40,pealup,17,105
outfaroup,40,outfaroup,40,outfaroup,40,pealup,18,100
outfaroup,40,outfaroup,40,outfaroup,40,pealup,19,100
outfaroup,40,outfaroup,40,outfaroup,40,pealup,20,90
outfaroup,40,outfaroup,40,outfaroup,40,pealup,21,85
outfaroup,40,outfaroup,40,outfaroup,40,pealup,22,85
outfaroup,40,outfaroup,40,outfaroup,40,pealup,23,75
outfaroup,40,outfaroup,40,outfaroup,40,pealup,24,70
outfaroup,40,outfaroup,40,outfaroup,40,pealup,25,70
outfaroup,40,outfaroup,40,outfaroup,40,pealup,26,60
outfaroup,40,outfaroup,40,outfaroup,40,pealup,27,55
outfaroup,40,outfaroup,40,outfaroup,40,pealup,28,55
outfaroup,40,outfaroup,40,outfaroup,40,pealup,29,45
outfaroup,40,outfaroup,40,outfaroup,40,pealup,30,40
outfaroup,40,outfaroup,40,outfaroup,40,pealup,31,40
outfaroup,40,outfaroup,40,outfaroup,40,pealup,32,30
outfaroup,40,outfaroup,40,outfaroup,40,pealup,33,25
outfaroup,40,outfaroup,40,outfaroup,40,pealup,34,25
outfaroup,40,outfaroup,40,outfaroup,40,pealup,35,15
outfaroup,40,outfaroup,40,outfaroup,40,pealup,36,10
outfaroup,40,outfaroup,40,outfaroup,40,pealup,37,10
outfaroup,40,outfaroup,40,outfaroup,40,pealup,38,0
outfaroup,40,outfaroup,40,outfaroup,40,pealup,39,0
outfaroup,40,outfaroup,40,outfaroup,40,pealup,40,0
outfaroup,40,outfaroup,40,outfaroup,40,pealup,41,0
outfaroup,40,outfaroup,40,outfaroup,40,pealup,42,0
outfaroup,40,outfaroup,40,outfaroup,40,pealup,43,0
outfaroup,40,outfaroup,40,outfaroup,40,pealup,44,-5
outfaroup,40,outfaroup,40,outfaroup,40,pealup,45,5
outfaroup,40,outfaroup,40,outfaroup,40,pealup,46,-5
outfaroup,40,outfaroup,40,outfaroup,40,pealup,47,0
outfaroup,40,outfaroup,40,outfaroup,40,pealup,48,0
outfaroup,40,outfaroup,40,outfaroup,40,pealup,49,0
outfaroup,40,outfaroup,40,outfaroup,40,pealup,50,-5
outfaroup,40,outfaroup,40,outfaroup,40,pealup,51,5
outfaroup,40,outfaroup,40,outfaroup,40,infaro,10,95
outfaroup,40,outfaroup,40,outfaroup,40,infaro,11,85
outfaroup,40,outfaroup,40,outfaroup,40,infaro,12,80
outfaroup,40,outfaroup,40,outfaroup,40,infaro,13,70
outfaroup,40,outfaroup,40,outfaroup,40,infaro,14,60
outfaroup,40,outfaroup,40,outfaroup,40,infaro,15,50
outfaroup,40,outfaroup,40,outfaroup,40,infaro,16,40
