maintained,technique,is,SLIPCUT,and,the,number,is,30
cut,1,cut,30,cut,30,cut,30,480
cut,2,cut,30,cut,30,cut,30,480
cut,3,cut,30,cut,30,cut,30,480
cut,4,cut,30,cut,30,cut,30,480
cut,5,cut,30,cut,30,cut,30,480
cut,6,cut,30,cut,30,cut,30,480
cut,7,cut,30,cut,30,cut,30,480
cut,8,cut,30,cut,30,cut,30,480
cut,9,cut,30,cut,30,cut,30,480
cut,10,cut,30,cut,30,cut,30,480
cut,11,cut,30,cut,30,cut,30,480
cut,12,cut,30,cut,30,cut,30,480
cut,13,cut,30,cut,30,cut,30,480
cut,14,cut,30,cut,30,cut,30,490
cut,15,cut,30,cut,30,cut,30,480
cut,16,cut,30,cut,30,cut,30,480
cut,17,cut,30,cut,30,cut,30,480
cut,18,cut,30,cut,30,cut,30,490
cut,19,cut,30,cut,30,cut,30,480
cut,20,cut,30,cut,30,cut,30,480
cut,21,cut,30,cut,30,cut,30,480
cut,22,cut,30,cut,30,cut,30,480
cut,23,cut,30,cut,30,cut,30,480
cut,24,cut,30,cut,30,cut,30,480
cut,25,cut,30,cut,30,cut,30,480
cut,26,cut,30,cut,30,cut,30,480
cut,27,cut,30,cut,30,cut,30,480
cut,28,cut,30,cut,30,cut,30,480
cut,29,cut,30,cut,30,cut,30,480
cut,30,cut,30,cut,30,cut,30,480
cut,31,cut,30,cut,30,cut,30,480
cut,32,cut,30,cut,30,cut,30,480
cut,33,cut,30,cut,30,cut,30,480
cut,34,cut,30,cut,30,cut,30,480
cut,35,cut,30,cut,30,cut,30,480
cut,36,cut,30,cut,30,cut,30,480
cut,37,cut,30,cut,30,cut,30,480
cut,38,cut,30,cut,30,cut,30,480
cut,39,cut,30,cut,30,cut,30,480
cut,40,cut,30,cut,30,cut,30,480
cut,41,cut,30,cut,30,cut,30,480
cut,42,cut,30,cut,30,cut,30,480
cut,43,cut,30,cut,30,cut,30,480
cut,44,cut,30,cut,30,cut,30,490
cut,45,cut,30,cut,30,cut,30,480
cut,46,cut,30,cut,30,cut,30,480
cut,47,cut,30,cut,30,cut,30,480
cut,48,cut,30,cut,30,cut,30,480
cut,49,cut,30,cut,30,cut,30,480
cut,50,cut,30,cut,30,cut,30,480
cut,51,cut,30,cut,30,cut,30,480
slipcut,2,cut,30,cut,30,cut,30,460
slipcut,3,cut,30,cut,30,cut,30,460
slipcut,4,cut,30,cut,30,cut,30,470
slipcut,5,cut,30,cut,30,cut,30,460
slipcut,6,cut,30,cut,30,cut,30,460
slipcut,7,cut,30,cut,30,cut,30,460
slipcut,8,cut,30,cut,30,cut,30,460
slipcut,9,cut,30,cut,30,cut,30,460
slipcut,10,cut,30,cut,30,cut,30,460
slipcut,11,cut,30,cut,30,cut,30,460
slipcut,12,cut,30,cut,30,cut,30,460
slipcut,13,cut,30,cut,30,cut,30,460
slipcut,14,cut,30,cut,30,cut,30,460
slipcut,15,cut,30,cut,30,cut,30,460
slipcut,16,cut,30,cut,30,cut,30,460
slipcut,17,cut,30,cut,30,cut,30,460
slipcut,18,cut,30,cut,30,cut,30,460
slipcut,19,cut,30,cut,30,cut,30,460
slipcut,20,cut,30,cut,30,cut,30,460
slipcut,21,cut,30,cut,30,cut,30,460
slipcut,22,cut,30,cut,30,cut,30,460
slipcut,23,cut,30,cut,30,cut,30,460
