maintained,technique,is,INFARO,and,the,number,is,40
infaro,40,infaro,40,infaro,40,slipcut,22,130
infaro,40,infaro,40,infaro,40,slipcut,23,130
infaro,40,infaro,40,infaro,40,slipcut,24,130
infaro,40,infaro,40,infaro,40,slipcut,25,130
infaro,40,infaro,40,infaro,40,slipcut,26,130
infaro,40,infaro,40,infaro,40,slipcut,27,130
infaro,40,infaro,40,infaro,40,slipcut,28,130
infaro,40,infaro,40,infaro,40,slipcut,29,130
infaro,40,infaro,40,infaro,40,slipcut,30,135
infaro,40,infaro,40,infaro,40,slipcut,31,130
infaro,40,infaro,40,infaro,40,slipcut,32,130
infaro,40,infaro,40,infaro,40,slipcut,33,130
infaro,40,infaro,40,infaro,40,slipcut,34,130
infaro,40,infaro,40,infaro,40,slipcut,35,130
infaro,40,infaro,40,infaro,40,slipcut,36,130
infaro,40,infaro,40,infaro,40,slipcut,37,130
infaro,40,infaro,40,infaro,40,slipcut,38,130
infaro,40,infaro,40,infaro,40,slipcut,39,130
infaro,40,infaro,40,infaro,40,slipcut,40,130
infaro,40,infaro,40,infaro,40,slipcut,41,145
infaro,40,infaro,40,infaro,40,slipcut,42,135
infaro,40,infaro,40,infaro,40,slipcut,43,135
infaro,40,infaro,40,infaro,40,slipcut,44,135
infaro,40,infaro,40,infaro,40,slipcut,45,135
infaro,40,infaro,40,infaro,40,slipcut,46,135
infaro,40,infaro,40,infaro,40,slipcut,47,135
infaro,40,infaro,40,infaro,40,slipcut,48,135
infaro,40,infaro,40,infaro,40,slipcut,49,135
infaro,40,infaro,40,infaro,40,slipcut,50,135
infaro,40,infaro,40,infaro,40,slipcut,51,135
infaro,40,infaro,40,infaro,40,peal,2,140
infaro,40,infaro,40,infaro,40,peal,3,135
infaro,40,infaro,40,infaro,40,peal,4,135
infaro,40,infaro,40,infaro,40,peal,5,140
infaro,40,infaro,40,infaro,40,peal,6,135
infaro,40,infaro,40,infaro,40,peal,7,135
infaro,40,infaro,40,infaro,40,peal,8,140
infaro,40,infaro,40,infaro,40,peal,9,135
infaro,40,infaro,40,infaro,40,peal,10,135
infaro,40,infaro,40,infaro,40,peal,11,140
infaro,40,infaro,40,infaro,40,peal,12,130
infaro,40,infaro,40,infaro,40,peal,13,125
infaro,40,infaro,40,infaro,40,peal,14,125
infaro,40,infaro,40,infaro,40,peal,15,115
infaro,40,infaro,40,infaro,40,peal,16,110
infaro,40,infaro,40,infaro,40,peal,17,110
infaro,40,infaro,40,infaro,40,peal,18,100
infaro,40,infaro,40,infaro,40,peal,19,95
infaro,40,infaro,40,infaro,40,peal,20,95
infaro,40,infaro,40,infaro,40,peal,21,85
infaro,40,infaro,40,infaro,40,peal,22,80
infaro,40,infaro,40,infaro,40,peal,23,80
infaro,40,infaro,40,infaro,40,peal,24,70
infaro,40,infaro,40,infaro,40,peal,25,65
infaro,40,infaro,40,infaro,40,peal,26,65
infaro,40,infaro,40,infaro,40,peal,27,55
infaro,40,infaro,40,infaro,40,peal,28,50
infaro,40,infaro,40,infaro,40,peal,29,50
infaro,40,infaro,40,infaro,40,peal,30,40
infaro,40,infaro,40,infaro,40,peal,31,35
infaro,40,infaro,40,infaro,40,peal,32,35
infaro,40,infaro,40,infaro,40,peal,33,25
infaro,40,infaro,40,infaro,40,peal,34,20
infaro,40,infaro,40,infaro,40,peal,35,20
infaro,40,infaro,40,infaro,40,peal,36,10
infaro,40,infaro,40,infaro,40,peal,37,10
infaro,40,infaro,40,infaro,40,peal,38,0
infaro,40,infaro,40,infaro,40,peal,39,0
infaro,40,infaro,40,infaro,40,peal,40,-5
infaro,40,infaro,40,infaro,40,peal,41,10
infaro,40,infaro,40,infaro,40,peal,42,-5
infaro,40,infaro,40,infaro,40,peal,43,0
infaro,40,infaro,40,infaro,40,peal,44,0
infaro,40,infaro,40,infaro,40,peal,45,0
infaro,40,infaro,40,infaro,40,peal,46,-5
infaro,40,infaro,40,infaro,40,peal,47,5
infaro,40,infaro,40,infaro,40,peal,48,-5
infaro,40,infaro,40,infaro,40,peal,49,0
infaro,40,infaro,40,infaro,40,peal,50,0
infaro,40,infaro,40,infaro,40,peal,51,0
infaro,40,infaro,40,infaro,40,pealup,2,135
infaro,40,infaro,40,infaro,40,pealup,3,135
infaro,40,infaro,40,infaro,40,pealup,4,135
infaro,40,infaro,40,infaro,40,pealup,5,135
infaro,40,infaro,40,infaro,40,pealup,6,135
infaro,40,infaro,40,infaro,40,pealup,7,135
infaro,40,infaro,40,infaro,40,pealup,8,135
infaro,40,infaro,40,infaro,40,pealup,9,135
infaro,40,infaro,40,infaro,40,pealup,10,135
infaro,40,infaro,40,infaro,40,pealup,11,135
infaro,40,infaro,40,infaro,40,pealup,12,135
infaro,40,infaro,40,infaro,40,pealup,13,135
infaro,40,infaro,40,infaro,40,pealup,14,125
infaro,40,infaro,40,infaro,40,pealup,15,125
infaro,40,infaro,40,infaro,40,pealup,16,115
infaro,40,infaro,40,infaro,40,pealup,17,115
infaro,40,infaro,40,infaro,40,pealup,18,105
infaro,40,infaro,40,infaro,40,pealup,19,105
infaro,40,infaro,40,infaro,40,pealup,20,95
infaro,40,infaro,40,infaro,40,pealup,21,95
infaro,40,infaro,40,infaro,40,pealup,22,85
infaro,40,infaro,40,infaro,40,pealup,23,85
infaro,40,infaro,40,infaro,40,pealup,24,75
infaro,40,infaro,40,infaro,40,pealup,25,75
infaro,40,infaro,40,infaro,40,pealup,26,65
infaro,40,infaro,40,infaro,40,pealup,27,65
infaro,40,infaro,40,infaro,40,pealup,28,55
infaro,40,infaro,40,infaro,40,pealup,29,55
infaro,40,infaro,40,infaro,40,pealup,30,50
infaro,40,infaro,40,infaro,40,pealup,31,45
infaro,40,infaro,40,infaro,40,pealup,32,35
infaro,40,infaro,40,infaro,40,pealup,33,40
infaro,40,infaro,40,infaro,40,pealup,34,25
infaro,40,infaro,40,infaro,40,pealup,35,25
infaro,40,infaro,40,infaro,40,pealup,36,20
infaro,40,infaro,40,infaro,40,pealup,37,15
infaro,40,infaro,40,infaro,40,pealup,38,5
infaro,40,infaro,40,infaro,40,pealup,39,10
infaro,40,infaro,40,infaro,40,pealup,40,-5
infaro,40,infaro,40,infaro,40,pealup,41,5
infaro,40,infaro,40,infaro,40,pealup,42,0
infaro,40,infaro,40,infaro,40,pealup,43,0
infaro,40,infaro,40,infaro,40,pealup,44,-5
infaro,40,infaro,40,infaro,40,pealup,45,5
infaro,40,infaro,40,infaro,40,pealup,46,-5
infaro,40,infaro,40,infaro,40,pealup,47,0
infaro,40,infaro,40,infaro,40,pealup,48,0
infaro,40,infaro,40,infaro,40,pealup,49,0
infaro,40,infaro,40,infaro,40,pealup,50,-5
infaro,40,infaro,40,infaro,40,pealup,51,5
infaro,40,infaro,40,infaro,40,infaro,10,140
