maintained,technique,is,CUT,and,the,number,is,40
cut,40,cut,40,cut,40,slipcut,47,-10
cut,40,cut,40,cut,40,slipcut,48,-10
cut,40,cut,40,cut,40,slipcut,49,-10
cut,40,cut,40,cut,40,slipcut,50,-10
cut,40,cut,40,cut,40,slipcut,51,-10
cut,40,cut,40,cut,40,peal,2,-10
cut,40,cut,40,cut,40,peal,3,-10
cut,40,cut,40,cut,40,peal,4,-10
cut,40,cut,40,cut,40,peal,5,-10
cut,40,cut,40,cut,40,peal,6,-10
cut,40,cut,40,cut,40,peal,7,-10
cut,40,cut,40,cut,40,peal,8,-10
cut,40,cut,40,cut,40,peal,9,-10
cut,40,cut,40,cut,40,peal,10,-10
cut,40,cut,40,cut,40,peal,11,-10
cut,40,cut,40,cut,40,peal,12,-10
cut,40,cut,40,cut,40,peal,13,0
cut,40,cut,40,cut,40,peal,14,-10
cut,40,cut,40,cut,40,peal,15,0
cut,40,cut,40,cut,40,peal,16,-10
cut,40,cut,40,cut,40,peal,17,0
cut,40,cut,40,cut,40,peal,18,-10
cut,40,cut,40,cut,40,peal,19,0
cut,40,cut,40,cut,40,peal,20,-10
cut,40,cut,40,cut,40,peal,21,0
cut,40,cut,40,cut,40,peal,22,-10
cut,40,cut,40,cut,40,peal,23,0
cut,40,cut,40,cut,40,peal,24,-10
cut,40,cut,40,cut,40,peal,25,0
cut,40,cut,40,cut,40,peal,26,-10
cut,40,cut,40,cut,40,peal,27,0
cut,40,cut,40,cut,40,peal,28,-10
cut,40,cut,40,cut,40,peal,29,0
cut,40,cut,40,cut,40,peal,30,-10
cut,40,cut,40,cut,40,peal,31,0
cut,40,cut,40,cut,40,peal,32,-10
cut,40,cut,40,cut,40,peal,33,0
cut,40,cut,40,cut,40,peal,34,-10
cut,40,cut,40,cut,40,peal,35,0
cut,40,cut,40,cut,40,peal,36,-10
cut,40,cut,40,cut,40,peal,37,0
cut,40,cut,40,cut,40,peal,38,-10
cut,40,cut,40,cut,40,peal,39,0
cut,40,cut,40,cut,40,peal,40,-10
cut,40,cut,40,cut,40,peal,41,10
cut,40,cut,40,cut,40,peal,42,-10
