maintained,technique,is,CUT,and,the,number,is,30
cut,30,cut,30,slipcut,32,cut,30,-10
cut,30,cut,30,slipcut,33,cut,30,-10
cut,30,cut,30,slipcut,34,cut,30,-10
cut,30,cut,30,slipcut,35,cut,30,-10
cut,30,cut,30,slipcut,36,cut,30,-10
cut,30,cut,30,slipcut,37,cut,30,-10
cut,30,cut,30,slipcut,38,cut,30,-10
cut,30,cut,30,slipcut,39,cut,30,-10
cut,30,cut,30,slipcut,40,cut,30,-10
cut,30,cut,30,slipcut,41,cut,30,-10
cut,30,cut,30,slipcut,42,cut,30,-10
cut,30,cut,30,slipcut,43,cut,30,-10
cut,30,cut,30,slipcut,44,cut,30,-10
cut,30,cut,30,slipcut,45,cut,30,-10
cut,30,cut,30,slipcut,46,cut,30,-10
cut,30,cut,30,slipcut,47,cut,30,-10
cut,30,cut,30,slipcut,48,cut,30,-10
cut,30,cut,30,slipcut,49,cut,30,-10
cut,30,cut,30,slipcut,50,cut,30,-10
cut,30,cut,30,slipcut,51,cut,30,-10
cut,30,cut,30,peal,2,cut,30,-10
cut,30,cut,30,peal,3,cut,30,-10
cut,30,cut,30,peal,4,cut,30,-10
cut,30,cut,30,peal,5,cut,30,-10
cut,30,cut,30,peal,6,cut,30,-10
cut,30,cut,30,peal,7,cut,30,-10
cut,30,cut,30,peal,8,cut,30,-10
cut,30,cut,30,peal,9,cut,30,-10
cut,30,cut,30,peal,10,cut,30,-10
cut,30,cut,30,peal,11,cut,30,-10
cut,30,cut,30,peal,12,cut,30,-10
cut,30,cut,30,peal,13,cut,30,-10
cut,30,cut,30,peal,14,cut,30,-10
cut,30,cut,30,peal,15,cut,30,-10
cut,30,cut,30,peal,16,cut,30,-10
cut,30,cut,30,peal,17,cut,30,-10
cut,30,cut,30,peal,18,cut,30,-10
cut,30,cut,30,peal,19,cut,30,-10
cut,30,cut,30,peal,20,cut,30,-10
cut,30,cut,30,peal,21,cut,30,-10
cut,30,cut,30,peal,22,cut,30,-10
cut,30,cut,30,peal,23,cut,30,0
cut,30,cut,30,peal,24,cut,30,-10
cut,30,cut,30,peal,25,cut,30,0
cut,30,cut,30,peal,26,cut,30,-10
cut,30,cut,30,peal,27,cut,30,0
cut,30,cut,30,peal,28,cut,30,-10
cut,30,cut,30,peal,29,cut,30,0
cut,30,cut,30,peal,30,cut,30,-10
cut,30,cut,30,peal,31,cut,30,10
cut,30,cut,30,peal,32,cut,30,-10
cut,30,cut,30,peal,33,cut,30,10
cut,30,cut,30,peal,34,cut,30,-10
cut,30,cut,30,peal,35,cut,30,10
cut,30,cut,30,peal,36,cut,30,-10
cut,30,cut,30,peal,37,cut,30,10
cut,30,cut,30,peal,38,cut,30,-10
cut,30,cut,30,peal,39,cut,30,10
cut,30,cut,30,peal,40,cut,30,-10
cut,30,cut,30,peal,41,cut,30,10
cut,30,cut,30,peal,42,cut,30,-10
cut,30,cut,30,peal,43,cut,30,10
cut,30,cut,30,peal,44,cut,30,-10
cut,30,cut,30,peal,45,cut,30,10
cut,30,cut,30,peal,46,cut,30,-10
cut,30,cut,30,peal,47,cut,30,10
cut,30,cut,30,peal,48,cut,30,-10
cut,30,cut,30,peal,49,cut,30,10
cut,30,cut,30,peal,50,cut,30,-10
cut,30,cut,30,peal,51,cut,30,10
cut,30,cut,30,pealup,2,cut,30,-10
cut,30,cut,30,pealup,3,cut,30,-10
cut,30,cut,30,pealup,4,cut,30,-10
cut,30,cut,30,pealup,5,cut,30,-10
cut,30,cut,30,pealup,6,cut,30,-10
cut,30,cut,30,pealup,7,cut,30,-10
cut,30,cut,30,pealup,8,cut,30,-10
cut,30,cut,30,pealup,9,cut,30,-10
cut,30,cut,30,pealup,10,cut,30,-10
cut,30,cut,30,pealup,11,cut,30,-10
cut,30,cut,30,pealup,12,cut,30,-10
cut,30,cut,30,pealup,13,cut,30,-10
cut,30,cut,30,pealup,14,cut,30,-10
cut,30,cut,30,pealup,15,cut,30,-10
cut,30,cut,30,pealup,16,cut,30,-10
cut,30,cut,30,pealup,17,cut,30,-10
cut,30,cut,30,pealup,18,cut,30,-10
cut,30,cut,30,pealup,19,cut,30,-10
cut,30,cut,30,pealup,20,cut,30,-10
cut,30,cut,30,pealup,21,cut,30,-10
cut,30,cut,30,pealup,22,cut,30,-10
cut,30,cut,30,pealup,23,cut,30,0
cut,30,cut,30,pealup,24,cut,30,-10
cut,30,cut,30,pealup,25,cut,30,0
cut,30,cut,30,pealup,26,cut,30,-10
cut,30,cut,30,pealup,27,cut,30,0
cut,30,cut,30,pealup,28,cut,30,-10
cut,30,cut,30,pealup,29,cut,30,0
cut,30,cut,30,pealup,30,cut,30,-10
cut,30,cut,30,pealup,31,cut,30,10
cut,30,cut,30,pealup,32,cut,30,-10
cut,30,cut,30,pealup,33,cut,30,10
cut,30,cut,30,pealup,34,cut,30,-10
cut,30,cut,30,pealup,35,cut,30,10
cut,30,cut,30,pealup,36,cut,30,-10
cut,30,cut,30,pealup,37,cut,30,10
cut,30,cut,30,pealup,38,cut,30,-10
cut,30,cut,30,pealup,39,cut,30,10
cut,30,cut,30,pealup,40,cut,30,-10
cut,30,cut,30,pealup,41,cut,30,10
cut,30,cut,30,pealup,42,cut,30,-10
cut,30,cut,30,pealup,43,cut,30,10
cut,30,cut,30,pealup,44,cut,30,-10
cut,30,cut,30,pealup,45,cut,30,10
cut,30,cut,30,pealup,46,cut,30,-10
cut,30,cut,30,pealup,47,cut,30,10
cut,30,cut,30,pealup,48,cut,30,-10
cut,30,cut,30,pealup,49,cut,30,10
cut,30,cut,30,pealup,50,cut,30,-10
cut,30,cut,30,pealup,51,cut,30,10
cut,30,cut,30,infaro,10,cut,30,-10
cut,30,cut,30,infaro,11,cut,30,-10
cut,30,cut,30,infaro,12,cut,30,-10
cut,30,cut,30,infaro,13,cut,30,-10
cut,30,cut,30,infaro,14,cut,30,-10
cut,30,cut,30,infaro,15,cut,30,-10
cut,30,cut,30,infaro,16,cut,30,-10
cut,30,cut,30,infaro,17,cut,30,-10
cut,30,cut,30,infaro,18,cut,30,-10
cut,30,cut,30,infaro,19,cut,30,-10
cut,30,cut,30,infaro,20,cut,30,-10
