maintained,technique,is,PEAL,and,the,number,is,20
peal,20,peal,20,peal,20,slipcut,37,145
peal,20,peal,20,peal,20,slipcut,38,145
peal,20,peal,20,peal,20,slipcut,39,145
peal,20,peal,20,peal,20,slipcut,40,145
peal,20,peal,20,peal,20,slipcut,41,145
peal,20,peal,20,peal,20,slipcut,42,145
peal,20,peal,20,peal,20,slipcut,43,150
peal,20,peal,20,peal,20,slipcut,44,150
peal,20,peal,20,peal,20,slipcut,45,150
peal,20,peal,20,peal,20,slipcut,46,150
peal,20,peal,20,peal,20,slipcut,47,150
peal,20,peal,20,peal,20,slipcut,48,150
peal,20,peal,20,peal,20,slipcut,49,150
peal,20,peal,20,peal,20,slipcut,50,150
peal,20,peal,20,peal,20,slipcut,51,150
peal,20,peal,20,peal,20,peal,2,315
peal,20,peal,20,peal,20,peal,3,320
peal,20,peal,20,peal,20,peal,4,325
peal,20,peal,20,peal,20,peal,5,330
peal,20,peal,20,peal,20,peal,6,335
peal,20,peal,20,peal,20,peal,7,340
peal,20,peal,20,peal,20,peal,8,345
peal,20,peal,20,peal,20,peal,9,350
peal,20,peal,20,peal,20,peal,10,355
peal,20,peal,20,peal,20,peal,11,360
peal,20,peal,20,peal,20,peal,12,365
peal,20,peal,20,peal,20,peal,13,370
peal,20,peal,20,peal,20,peal,14,375
peal,20,peal,20,peal,20,peal,15,380
peal,20,peal,20,peal,20,peal,16,385
peal,20,peal,20,peal,20,peal,17,390
peal,20,peal,20,peal,20,peal,18,395
peal,20,peal,20,peal,20,peal,19,400
peal,20,peal,20,peal,20,peal,20,510
peal,20,peal,20,peal,20,peal,21,395
peal,20,peal,20,peal,20,peal,22,385
peal,20,peal,20,peal,20,peal,23,375
peal,20,peal,20,peal,20,peal,24,365
peal,20,peal,20,peal,20,peal,25,355
peal,20,peal,20,peal,20,peal,26,345
peal,20,peal,20,peal,20,peal,27,335
peal,20,peal,20,peal,20,peal,28,325
peal,20,peal,20,peal,20,peal,29,315
peal,20,peal,20,peal,20,peal,30,305
peal,20,peal,20,peal,20,peal,31,295
peal,20,peal,20,peal,20,peal,32,285
peal,20,peal,20,peal,20,peal,33,275
peal,20,peal,20,peal,20,peal,34,265
peal,20,peal,20,peal,20,peal,35,255
peal,20,peal,20,peal,20,peal,36,245
peal,20,peal,20,peal,20,peal,37,235
peal,20,peal,20,peal,20,peal,38,225
peal,20,peal,20,peal,20,peal,39,215
peal,20,peal,20,peal,20,peal,40,205
peal,20,peal,20,peal,20,peal,41,200
peal,20,peal,20,peal,20,peal,42,185
peal,20,peal,20,peal,20,peal,43,180
peal,20,peal,20,peal,20,peal,44,165
peal,20,peal,20,peal,20,peal,45,160
peal,20,peal,20,peal,20,peal,46,145
peal,20,peal,20,peal,20,peal,47,140
peal,20,peal,20,peal,20,peal,48,125
peal,20,peal,20,peal,20,peal,49,120
peal,20,peal,20,peal,20,peal,50,105
peal,20,peal,20,peal,20,peal,51,100
peal,20,peal,20,peal,20,pealup,2,290
peal,20,peal,20,peal,20,pealup,3,285
peal,20,peal,20,peal,20,pealup,4,270
peal,20,peal,20,peal,20,pealup,5,265
peal,20,peal,20,peal,20,pealup,6,250
peal,20,peal,20,peal,20,pealup,7,245
peal,20,peal,20,peal,20,pealup,8,230
peal,20,peal,20,peal,20,pealup,9,225
peal,20,peal,20,peal,20,pealup,10,210
peal,20,peal,20,peal,20,pealup,11,205
peal,20,peal,20,peal,20,pealup,12,190
peal,20,peal,20,peal,20,pealup,13,185
peal,20,peal,20,peal,20,pealup,14,170
peal,20,peal,20,peal,20,pealup,15,165
peal,20,peal,20,peal,20,pealup,16,150
peal,20,peal,20,peal,20,pealup,17,145
