maintained,technique,is,SLIPCUTUP,and,the,number,is,40
slipcut,40,slipcut,40,cut,1,slipcut,40,-10
slipcut,40,slipcut,40,cut,2,slipcut,40,-10
slipcut,40,slipcut,40,cut,3,slipcut,40,-10
slipcut,40,slipcut,40,cut,4,slipcut,40,-10
slipcut,40,slipcut,40,cut,5,slipcut,40,-10
slipcut,40,slipcut,40,cut,6,slipcut,40,-10
slipcut,40,slipcut,40,cut,7,slipcut,40,-10
slipcut,40,slipcut,40,cut,8,slipcut,40,-10
slipcut,40,slipcut,40,cut,9,slipcut,40,-10
slipcut,40,slipcut,40,cut,10,slipcut,40,-10
slipcut,40,slipcut,40,cut,11,slipcut,40,-10
slipcut,40,slipcut,40,cut,12,slipcut,40,-10
slipcut,40,slipcut,40,cut,13,slipcut,40,-10
slipcut,40,slipcut,40,cut,14,slipcut,40,-10
slipcut,40,slipcut,40,cut,15,slipcut,40,-10
slipcut,40,slipcut,40,cut,16,slipcut,40,-10
slipcut,40,slipcut,40,cut,17,slipcut,40,-10
slipcut,40,slipcut,40,cut,18,slipcut,40,-10
slipcut,40,slipcut,40,cut,19,slipcut,40,-10
slipcut,40,slipcut,40,cut,20,slipcut,40,-10
slipcut,40,slipcut,40,cut,21,slipcut,40,-10
slipcut,40,slipcut,40,cut,22,slipcut,40,-10
slipcut,40,slipcut,40,cut,23,slipcut,40,-10
slipcut,40,slipcut,40,cut,24,slipcut,40,-10
slipcut,40,slipcut,40,cut,25,slipcut,40,-10
slipcut,40,slipcut,40,cut,26,slipcut,40,-10
slipcut,40,slipcut,40,cut,27,slipcut,40,-10
slipcut,40,slipcut,40,cut,28,slipcut,40,-10
slipcut,40,slipcut,40,cut,29,slipcut,40,-10
slipcut,40,slipcut,40,cut,30,slipcut,40,-10
slipcut,40,slipcut,40,cut,31,slipcut,40,-10
slipcut,40,slipcut,40,cut,32,slipcut,40,-10
slipcut,40,slipcut,40,cut,33,slipcut,40,-10
slipcut,40,slipcut,40,cut,34,slipcut,40,-10
slipcut,40,slipcut,40,cut,35,slipcut,40,-10
slipcut,40,slipcut,40,cut,36,slipcut,40,-10
slipcut,40,slipcut,40,cut,37,slipcut,40,-10
slipcut,40,slipcut,40,cut,38,slipcut,40,-10
slipcut,40,slipcut,40,cut,39,slipcut,40,0
slipcut,40,slipcut,40,cut,40,slipcut,40,-10
slipcut,40,slipcut,40,cut,41,slipcut,40,-10
slipcut,40,slipcut,40,cut,42,slipcut,40,-10
slipcut,40,slipcut,40,cut,43,slipcut,40,-10
slipcut,40,slipcut,40,cut,44,slipcut,40,-10
slipcut,40,slipcut,40,cut,45,slipcut,40,-10
slipcut,40,slipcut,40,cut,46,slipcut,40,-10
slipcut,40,slipcut,40,cut,47,slipcut,40,-10
slipcut,40,slipcut,40,cut,48,slipcut,40,-10
slipcut,40,slipcut,40,cut,49,slipcut,40,-10
slipcut,40,slipcut,40,cut,50,slipcut,40,-10
slipcut,40,slipcut,40,cut,51,slipcut,40,380
slipcut,40,slipcut,40,slipcut,2,slipcut,40,90
slipcut,40,slipcut,40,slipcut,3,slipcut,40,80
slipcut,40,slipcut,40,slipcut,4,slipcut,40,70
slipcut,40,slipcut,40,slipcut,5,slipcut,40,60
slipcut,40,slipcut,40,slipcut,6,slipcut,40,50
slipcut,40,slipcut,40,slipcut,7,slipcut,40,40
slipcut,40,slipcut,40,slipcut,8,slipcut,40,30
slipcut,40,slipcut,40,slipcut,9,slipcut,40,20
slipcut,40,slipcut,40,slipcut,10,slipcut,40,10
slipcut,40,slipcut,40,slipcut,11,slipcut,40,0
slipcut,40,slipcut,40,slipcut,12,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,13,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,14,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,15,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,16,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,17,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,18,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,19,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,20,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,21,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,22,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,23,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,24,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,25,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,26,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,27,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,28,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,29,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,30,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,31,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,32,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,33,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,34,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,35,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,36,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,37,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,38,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,39,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,41,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,42,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,43,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,44,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,45,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,46,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,47,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,48,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,49,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,50,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,51,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,2,slipcut,40,120
slipcut,40,slipcut,40,slipcut,3,slipcut,40,130
slipcut,40,slipcut,40,slipcut,4,slipcut,40,140
slipcut,40,slipcut,40,slipcut,5,slipcut,40,150
slipcut,40,slipcut,40,slipcut,6,slipcut,40,160
slipcut,40,slipcut,40,slipcut,7,slipcut,40,170
slipcut,40,slipcut,40,slipcut,8,slipcut,40,180
slipcut,40,slipcut,40,slipcut,9,slipcut,40,190
slipcut,40,slipcut,40,slipcut,10,slipcut,40,200
slipcut,40,slipcut,40,slipcut,11,slipcut,40,210
slipcut,40,slipcut,40,slipcut,12,slipcut,40,220
slipcut,40,slipcut,40,slipcut,13,slipcut,40,230
slipcut,40,slipcut,40,slipcut,14,slipcut,40,240
slipcut,40,slipcut,40,slipcut,15,slipcut,40,250
slipcut,40,slipcut,40,slipcut,16,slipcut,40,260
slipcut,40,slipcut,40,slipcut,17,slipcut,40,270
slipcut,40,slipcut,40,slipcut,18,slipcut,40,280
slipcut,40,slipcut,40,slipcut,19,slipcut,40,290
slipcut,40,slipcut,40,slipcut,20,slipcut,40,300
slipcut,40,slipcut,40,slipcut,21,slipcut,40,310
slipcut,40,slipcut,40,slipcut,22,slipcut,40,320
slipcut,40,slipcut,40,slipcut,23,slipcut,40,330
slipcut,40,slipcut,40,slipcut,24,slipcut,40,340
slipcut,40,slipcut,40,slipcut,25,slipcut,40,350
slipcut,40,slipcut,40,slipcut,26,slipcut,40,360
slipcut,40,slipcut,40,slipcut,27,slipcut,40,370
slipcut,40,slipcut,40,slipcut,28,slipcut,40,380
slipcut,40,slipcut,40,slipcut,29,slipcut,40,390
slipcut,40,slipcut,40,slipcut,30,slipcut,40,400
slipcut,40,slipcut,40,slipcut,31,slipcut,40,410
slipcut,40,slipcut,40,slipcut,32,slipcut,40,420
slipcut,40,slipcut,40,slipcut,33,slipcut,40,430
slipcut,40,slipcut,40,slipcut,34,slipcut,40,440
slipcut,40,slipcut,40,slipcut,35,slipcut,40,450
slipcut,40,slipcut,40,slipcut,36,slipcut,40,460
slipcut,40,slipcut,40,slipcut,37,slipcut,40,470
slipcut,40,slipcut,40,slipcut,38,slipcut,40,480
