maintained,technique,is,PEALUP,and,the,number,is,40
pealup,40,slipcut,20,pealup,40,pealup,40,110
pealup,40,slipcut,21,pealup,40,pealup,40,120
pealup,40,slipcut,22,pealup,40,pealup,40,120
pealup,40,slipcut,23,pealup,40,pealup,40,120
pealup,40,slipcut,24,pealup,40,pealup,40,120
pealup,40,slipcut,25,pealup,40,pealup,40,120
pealup,40,slipcut,26,pealup,40,pealup,40,120
pealup,40,slipcut,27,pealup,40,pealup,40,120
pealup,40,slipcut,28,pealup,40,pealup,40,120
pealup,40,slipcut,29,pealup,40,pealup,40,120
pealup,40,slipcut,30,pealup,40,pealup,40,120
pealup,40,slipcut,31,pealup,40,pealup,40,120
pealup,40,slipcut,32,pealup,40,pealup,40,120
pealup,40,slipcut,33,pealup,40,pealup,40,120
pealup,40,slipcut,34,pealup,40,pealup,40,120
pealup,40,slipcut,35,pealup,40,pealup,40,120
pealup,40,slipcut,36,pealup,40,pealup,40,120
pealup,40,slipcut,37,pealup,40,pealup,40,120
pealup,40,slipcut,38,pealup,40,pealup,40,120
pealup,40,slipcut,39,pealup,40,pealup,40,120
pealup,40,slipcut,40,pealup,40,pealup,40,130
pealup,40,slipcut,41,pealup,40,pealup,40,110
pealup,40,slipcut,42,pealup,40,pealup,40,100
pealup,40,slipcut,43,pealup,40,pealup,40,90
pealup,40,slipcut,44,pealup,40,pealup,40,80
pealup,40,slipcut,45,pealup,40,pealup,40,70
pealup,40,slipcut,46,pealup,40,pealup,40,60
pealup,40,slipcut,47,pealup,40,pealup,40,50
pealup,40,slipcut,48,pealup,40,pealup,40,40
pealup,40,slipcut,49,pealup,40,pealup,40,30
pealup,40,slipcut,50,pealup,40,pealup,40,20
pealup,40,slipcut,51,pealup,40,pealup,40,10
pealup,40,peal,2,pealup,40,pealup,40,90
pealup,40,peal,3,pealup,40,pealup,40,90
pealup,40,peal,4,pealup,40,pealup,40,70
pealup,40,peal,5,pealup,40,pealup,40,70
pealup,40,peal,6,pealup,40,pealup,40,50
pealup,40,peal,7,pealup,40,pealup,40,50
pealup,40,peal,8,pealup,40,pealup,40,30
pealup,40,peal,9,pealup,40,pealup,40,30
pealup,40,peal,10,pealup,40,pealup,40,10
pealup,40,peal,11,pealup,40,pealup,40,10
pealup,40,peal,12,pealup,40,pealup,40,-10
pealup,40,peal,13,pealup,40,pealup,40,0
pealup,40,peal,14,pealup,40,pealup,40,-10
pealup,40,peal,15,pealup,40,pealup,40,0
pealup,40,peal,16,pealup,40,pealup,40,-10
pealup,40,peal,17,pealup,40,pealup,40,0
pealup,40,peal,18,pealup,40,pealup,40,-10
pealup,40,peal,19,pealup,40,pealup,40,0
pealup,40,peal,20,pealup,40,pealup,40,-10
pealup,40,peal,21,pealup,40,pealup,40,0
pealup,40,peal,22,pealup,40,pealup,40,-10
pealup,40,peal,23,pealup,40,pealup,40,0
pealup,40,peal,24,pealup,40,pealup,40,-10
pealup,40,peal,25,pealup,40,pealup,40,-10
