maintained,technique,is,INFAROUP,and,the,number,is,30
infaroup,30,infaroup,30,slipcut,10,infaroup,30,80
infaroup,30,infaroup,30,slipcut,11,infaroup,30,70
infaroup,30,infaroup,30,slipcut,12,infaroup,30,50
infaroup,30,infaroup,30,slipcut,13,infaroup,30,30
infaroup,30,infaroup,30,slipcut,14,infaroup,30,10
infaroup,30,infaroup,30,slipcut,15,infaroup,30,0
infaroup,30,infaroup,30,slipcut,16,infaroup,30,10
infaroup,30,infaroup,30,slipcut,17,infaroup,30,0
infaroup,30,infaroup,30,slipcut,18,infaroup,30,0
infaroup,30,infaroup,30,slipcut,19,infaroup,30,0
infaroup,30,infaroup,30,slipcut,20,infaroup,30,0
infaroup,30,infaroup,30,slipcut,21,infaroup,30,0
infaroup,30,infaroup,30,slipcut,22,infaroup,30,0
infaroup,30,infaroup,30,slipcut,23,infaroup,30,0
infaroup,30,infaroup,30,slipcut,24,infaroup,30,0
infaroup,30,infaroup,30,slipcut,25,infaroup,30,0
infaroup,30,infaroup,30,slipcut,26,infaroup,30,0
infaroup,30,infaroup,30,slipcut,27,infaroup,30,0
infaroup,30,infaroup,30,slipcut,28,infaroup,30,0
infaroup,30,infaroup,30,slipcut,29,infaroup,30,0
infaroup,30,infaroup,30,slipcut,30,infaroup,30,0
infaroup,30,infaroup,30,slipcut,31,infaroup,30,0
infaroup,30,infaroup,30,slipcut,32,infaroup,30,0
infaroup,30,infaroup,30,slipcut,33,infaroup,30,0
infaroup,30,infaroup,30,slipcut,34,infaroup,30,0
infaroup,30,infaroup,30,slipcut,35,infaroup,30,0
infaroup,30,infaroup,30,slipcut,36,infaroup,30,0
infaroup,30,infaroup,30,slipcut,37,infaroup,30,0
infaroup,30,infaroup,30,slipcut,38,infaroup,30,0
infaroup,30,infaroup,30,slipcut,39,infaroup,30,0
infaroup,30,infaroup,30,slipcut,40,infaroup,30,0
infaroup,30,infaroup,30,slipcut,41,infaroup,30,0
infaroup,30,infaroup,30,slipcut,42,infaroup,30,20
infaroup,30,infaroup,30,slipcut,43,infaroup,30,40
infaroup,30,infaroup,30,slipcut,44,infaroup,30,60
infaroup,30,infaroup,30,slipcut,45,infaroup,30,80
infaroup,30,infaroup,30,slipcut,46,infaroup,30,90
infaroup,30,infaroup,30,slipcut,47,infaroup,30,80
infaroup,30,infaroup,30,slipcut,48,infaroup,30,80
infaroup,30,infaroup,30,slipcut,49,infaroup,30,80
infaroup,30,infaroup,30,slipcut,50,infaroup,30,80
infaroup,30,infaroup,30,slipcut,51,infaroup,30,80
infaroup,30,infaroup,30,peal,2,infaroup,30,80
infaroup,30,infaroup,30,peal,3,infaroup,30,80
infaroup,30,infaroup,30,peal,4,infaroup,30,80
infaroup,30,infaroup,30,peal,5,infaroup,30,80
infaroup,30,infaroup,30,peal,6,infaroup,30,80
infaroup,30,infaroup,30,peal,7,infaroup,30,80
infaroup,30,infaroup,30,peal,8,infaroup,30,60
infaroup,30,infaroup,30,peal,9,infaroup,30,40
infaroup,30,infaroup,30,peal,10,infaroup,30,20
infaroup,30,infaroup,30,peal,11,infaroup,30,0
infaroup,30,infaroup,30,peal,12,infaroup,30,0
infaroup,30,infaroup,30,peal,13,infaroup,30,0
infaroup,30,infaroup,30,peal,14,infaroup,30,0
infaroup,30,infaroup,30,peal,15,infaroup,30,20
infaroup,30,infaroup,30,peal,16,infaroup,30,20
infaroup,30,infaroup,30,peal,17,infaroup,30,20
infaroup,30,infaroup,30,peal,18,infaroup,30,20
infaroup,30,infaroup,30,peal,19,infaroup,30,20
infaroup,30,infaroup,30,peal,20,infaroup,30,20
infaroup,30,infaroup,30,peal,21,infaroup,30,20
infaroup,30,infaroup,30,peal,22,infaroup,30,20
infaroup,30,infaroup,30,peal,23,infaroup,30,0
infaroup,30,infaroup,30,peal,24,infaroup,30,20
infaroup,30,infaroup,30,peal,25,infaroup,30,0
infaroup,30,infaroup,30,peal,26,infaroup,30,20
infaroup,30,infaroup,30,peal,27,infaroup,30,0
infaroup,30,infaroup,30,peal,28,infaroup,30,10
infaroup,30,infaroup,30,peal,29,infaroup,30,0
infaroup,30,infaroup,30,peal,30,infaroup,30,0
infaroup,30,infaroup,30,peal,31,infaroup,30,0
infaroup,30,infaroup,30,peal,32,infaroup,30,0
infaroup,30,infaroup,30,peal,33,infaroup,30,0
infaroup,30,infaroup,30,peal,34,infaroup,30,10
infaroup,30,infaroup,30,peal,35,infaroup,30,10
