maintained,technique,is,OUTFAROUP,and,the,number,is,30
cut,1,outfaro,30,outfaro,30,outfaro,30,15
cut,2,outfaro,30,outfaro,30,outfaro,30,15
cut,3,outfaro,30,outfaro,30,outfaro,30,15
cut,4,outfaro,30,outfaro,30,outfaro,30,30
cut,5,outfaro,30,outfaro,30,outfaro,30,-5
cut,6,outfaro,30,outfaro,30,outfaro,30,-5
cut,7,outfaro,30,outfaro,30,outfaro,30,5
cut,8,outfaro,30,outfaro,30,outfaro,30,15
cut,9,outfaro,30,outfaro,30,outfaro,30,5
cut,10,outfaro,30,outfaro,30,outfaro,30,10
cut,11,outfaro,30,outfaro,30,outfaro,30,0
cut,12,outfaro,30,outfaro,30,outfaro,30,0
cut,13,outfaro,30,outfaro,30,outfaro,30,0
cut,14,outfaro,30,outfaro,30,outfaro,30,0
cut,15,outfaro,30,outfaro,30,outfaro,30,25
cut,16,outfaro,30,outfaro,30,outfaro,30,5
cut,17,outfaro,30,outfaro,30,outfaro,30,0
cut,18,outfaro,30,outfaro,30,outfaro,30,-5
cut,19,outfaro,30,outfaro,30,outfaro,30,-5
cut,20,outfaro,30,outfaro,30,outfaro,30,10
cut,21,outfaro,30,outfaro,30,outfaro,30,15
cut,22,outfaro,30,outfaro,30,outfaro,30,0
cut,23,outfaro,30,outfaro,30,outfaro,30,-5
cut,24,outfaro,30,outfaro,30,outfaro,30,0
cut,25,outfaro,30,outfaro,30,outfaro,30,0
cut,26,outfaro,30,outfaro,30,outfaro,30,0
cut,27,outfaro,30,outfaro,30,outfaro,30,-5
cut,28,outfaro,30,outfaro,30,outfaro,30,20
cut,29,outfaro,30,outfaro,30,outfaro,30,15
cut,30,outfaro,30,outfaro,30,outfaro,30,5
cut,31,outfaro,30,outfaro,30,outfaro,30,-5
cut,32,outfaro,30,outfaro,30,outfaro,30,10
cut,33,outfaro,30,outfaro,30,outfaro,30,25
cut,34,outfaro,30,outfaro,30,outfaro,30,-5
cut,35,outfaro,30,outfaro,30,outfaro,30,0
cut,36,outfaro,30,outfaro,30,outfaro,30,-5
cut,37,outfaro,30,outfaro,30,outfaro,30,-5
cut,38,outfaro,30,outfaro,30,outfaro,30,-5
cut,39,outfaro,30,outfaro,30,outfaro,30,-5
cut,40,outfaro,30,outfaro,30,outfaro,30,5
cut,41,outfaro,30,outfaro,30,outfaro,30,5
cut,42,outfaro,30,outfaro,30,outfaro,30,-5
cut,43,outfaro,30,outfaro,30,outfaro,30,0
cut,44,outfaro,30,outfaro,30,outfaro,30,-5
cut,45,outfaro,30,outfaro,30,outfaro,30,0
cut,46,outfaro,30,outfaro,30,outfaro,30,10
cut,47,outfaro,30,outfaro,30,outfaro,30,0
cut,48,outfaro,30,outfaro,30,outfaro,30,5
cut,49,outfaro,30,outfaro,30,outfaro,30,-5
cut,50,outfaro,30,outfaro,30,outfaro,30,0
cut,51,outfaro,30,outfaro,30,outfaro,30,-5
slipcut,2,outfaro,30,outfaro,30,outfaro,30,10
slipcut,3,outfaro,30,outfaro,30,outfaro,30,10
slipcut,4,outfaro,30,outfaro,30,outfaro,30,10
slipcut,5,outfaro,30,outfaro,30,outfaro,30,10
slipcut,6,outfaro,30,outfaro,30,outfaro,30,10
slipcut,7,outfaro,30,outfaro,30,outfaro,30,10
slipcut,8,outfaro,30,outfaro,30,outfaro,30,10
slipcut,9,outfaro,30,outfaro,30,outfaro,30,10
slipcut,10,outfaro,30,outfaro,30,outfaro,30,10
slipcut,11,outfaro,30,outfaro,30,outfaro,30,10
slipcut,12,outfaro,30,outfaro,30,outfaro,30,0
slipcut,13,outfaro,30,outfaro,30,outfaro,30,0
slipcut,14,outfaro,30,outfaro,30,outfaro,30,5
slipcut,15,outfaro,30,outfaro,30,outfaro,30,5
slipcut,16,outfaro,30,outfaro,30,outfaro,30,5
slipcut,17,outfaro,30,outfaro,30,outfaro,30,5
slipcut,18,outfaro,30,outfaro,30,outfaro,30,5
slipcut,19,outfaro,30,outfaro,30,outfaro,30,0
slipcut,20,outfaro,30,outfaro,30,outfaro,30,0
slipcut,21,outfaro,30,outfaro,30,outfaro,30,0
slipcut,22,outfaro,30,outfaro,30,outfaro,30,0
slipcut,23,outfaro,30,outfaro,30,outfaro,30,0
slipcut,24,outfaro,30,outfaro,30,outfaro,30,0
slipcut,25,outfaro,30,outfaro,30,outfaro,30,0
slipcut,26,outfaro,30,outfaro,30,outfaro,30,0
slipcut,27,outfaro,30,outfaro,30,outfaro,30,0
slipcut,28,outfaro,30,outfaro,30,outfaro,30,0
slipcut,29,outfaro,30,outfaro,30,outfaro,30,0
slipcut,30,outfaro,30,outfaro,30,outfaro,30,5
slipcut,31,outfaro,30,outfaro,30,outfaro,30,0
slipcut,32,outfaro,30,outfaro,30,outfaro,30,5
slipcut,33,outfaro,30,outfaro,30,outfaro,30,0
slipcut,34,outfaro,30,outfaro,30,outfaro,30,5
slipcut,35,outfaro,30,outfaro,30,outfaro,30,5
slipcut,36,outfaro,30,outfaro,30,outfaro,30,5
slipcut,37,outfaro,30,outfaro,30,outfaro,30,5
slipcut,38,outfaro,30,outfaro,30,outfaro,30,5
slipcut,39,outfaro,30,outfaro,30,outfaro,30,5
slipcut,40,outfaro,30,outfaro,30,outfaro,30,5
slipcut,41,outfaro,30,outfaro,30,outfaro,30,10
slipcut,42,outfaro,30,outfaro,30,outfaro,30,10
slipcut,43,outfaro,30,outfaro,30,outfaro,30,10
slipcut,44,outfaro,30,outfaro,30,outfaro,30,10
slipcut,45,outfaro,30,outfaro,30,outfaro,30,10
slipcut,46,outfaro,30,outfaro,30,outfaro,30,10
slipcut,47,outfaro,30,outfaro,30,outfaro,30,10
slipcut,48,outfaro,30,outfaro,30,outfaro,30,10
slipcut,49,outfaro,30,outfaro,30,outfaro,30,15
slipcut,50,outfaro,30,outfaro,30,outfaro,30,15
slipcut,51,outfaro,30,outfaro,30,outfaro,30,15
slipcut,2,outfaro,30,outfaro,30,outfaro,30,10
slipcut,3,outfaro,30,outfaro,30,outfaro,30,10
slipcut,4,outfaro,30,outfaro,30,outfaro,30,5
slipcut,5,outfaro,30,outfaro,30,outfaro,30,5
slipcut,6,outfaro,30,outfaro,30,outfaro,30,5
slipcut,7,outfaro,30,outfaro,30,outfaro,30,5
slipcut,8,outfaro,30,outfaro,30,outfaro,30,5
slipcut,9,outfaro,30,outfaro,30,outfaro,30,5
slipcut,10,outfaro,30,outfaro,30,outfaro,30,5
slipcut,11,outfaro,30,outfaro,30,outfaro,30,5
slipcut,12,outfaro,30,outfaro,30,outfaro,30,5
slipcut,13,outfaro,30,outfaro,30,outfaro,30,0
slipcut,14,outfaro,30,outfaro,30,outfaro,30,0
slipcut,15,outfaro,30,outfaro,30,outfaro,30,0
slipcut,16,outfaro,30,outfaro,30,outfaro,30,0
slipcut,17,outfaro,30,outfaro,30,outfaro,30,0
slipcut,18,outfaro,30,outfaro,30,outfaro,30,0
slipcut,19,outfaro,30,outfaro,30,outfaro,30,-5
slipcut,20,outfaro,30,outfaro,30,outfaro,30,-5
slipcut,21,outfaro,30,outfaro,30,outfaro,30,-5
slipcut,22,outfaro,30,outfaro,30,outfaro,30,-5
slipcut,23,outfaro,30,outfaro,30,outfaro,30,-5
slipcut,24,outfaro,30,outfaro,30,outfaro,30,-5
slipcut,25,outfaro,30,outfaro,30,outfaro,30,-5
slipcut,26,outfaro,30,outfaro,30,outfaro,30,-5
slipcut,27,outfaro,30,outfaro,30,outfaro,30,-5
slipcut,28,outfaro,30,outfaro,30,outfaro,30,-5
slipcut,29,outfaro,30,outfaro,30,outfaro,30,-5
slipcut,30,outfaro,30,outfaro,30,outfaro,30,0
slipcut,31,outfaro,30,outfaro,30,outfaro,30,-5
slipcut,32,outfaro,30,outfaro,30,outfaro,30,-5
slipcut,33,outfaro,30,outfaro,30,outfaro,30,-5
slipcut,34,outfaro,30,outfaro,30,outfaro,30,-5
slipcut,35,outfaro,30,outfaro,30,outfaro,30,-5
slipcut,36,outfaro,30,outfaro,30,outfaro,30,-5
slipcut,37,outfaro,30,outfaro,30,outfaro,30,-5
slipcut,38,outfaro,30,outfaro,30,outfaro,30,-5
slipcut,39,outfaro,30,outfaro,30,outfaro,30,-5
slipcut,40,outfaro,30,outfaro,30,outfaro,30,-5
slipcut,41,outfaro,30,outfaro,30,outfaro,30,-5
slipcut,42,outfaro,30,outfaro,30,outfaro,30,-5
slipcut,43,outfaro,30,outfaro,30,outfaro,30,-5
slipcut,44,outfaro,30,outfaro,30,outfaro,30,-5
slipcut,45,outfaro,30,outfaro,30,outfaro,30,-5
slipcut,46,outfaro,30,outfaro,30,outfaro,30,-5
slipcut,47,outfaro,30,outfaro,30,outfaro,30,-5
slipcut,48,outfaro,30,outfaro,30,outfaro,30,-5
slipcut,49,outfaro,30,outfaro,30,outfaro,30,-5
slipcut,50,outfaro,30,outfaro,30,outfaro,30,-5
slipcut,51,outfaro,30,outfaro,30,outfaro,30,-5
peal,2,outfaro,30,outfaro,30,outfaro,30,10
peal,3,outfaro,30,outfaro,30,outfaro,30,10
peal,4,outfaro,30,outfaro,30,outfaro,30,10
peal,5,outfaro,30,outfaro,30,outfaro,30,10
peal,6,outfaro,30,outfaro,30,outfaro,30,10
peal,7,outfaro,30,outfaro,30,outfaro,30,10
peal,8,outfaro,30,outfaro,30,outfaro,30,10
peal,9,outfaro,30,outfaro,30,outfaro,30,10
peal,10,outfaro,30,outfaro,30,outfaro,30,10
peal,11,outfaro,30,outfaro,30,outfaro,30,20
peal,12,outfaro,30,outfaro,30,outfaro,30,0
peal,13,outfaro,30,outfaro,30,outfaro,30,5
peal,14,outfaro,30,outfaro,30,outfaro,30,0
peal,15,outfaro,30,outfaro,30,outfaro,30,5
peal,16,outfaro,30,outfaro,30,outfaro,30,0
peal,17,outfaro,30,outfaro,30,outfaro,30,5
peal,18,outfaro,30,outfaro,30,outfaro,30,5
peal,19,outfaro,30,outfaro,30,outfaro,30,-5
peal,20,outfaro,30,outfaro,30,outfaro,30,-5
peal,21,outfaro,30,outfaro,30,outfaro,30,10
peal,22,outfaro,30,outfaro,30,outfaro,30,0
peal,23,outfaro,30,outfaro,30,outfaro,30,10
peal,24,outfaro,30,outfaro,30,outfaro,30,0
peal,25,outfaro,30,outfaro,30,outfaro,30,-5
peal,26,outfaro,30,outfaro,30,outfaro,30,0
peal,27,outfaro,30,outfaro,30,outfaro,30,5
peal,28,outfaro,30,outfaro,30,outfaro,30,0
peal,29,outfaro,30,outfaro,30,outfaro,30,0
peal,30,outfaro,30,outfaro,30,outfaro,30,5
peal,31,outfaro,30,outfaro,30,outfaro,30,5
peal,32,outfaro,30,outfaro,30,outfaro,30,10
peal,33,outfaro,30,outfaro,30,outfaro,30,10
peal,34,outfaro,30,outfaro,30,outfaro,30,10
peal,35,outfaro,30,outfaro,30,outfaro,30,0
peal,36,outfaro,30,outfaro,30,outfaro,30,10
peal,37,outfaro,30,outfaro,30,outfaro,30,0
peal,38,outfaro,30,outfaro,30,outfaro,30,15
peal,39,outfaro,30,outfaro,30,outfaro,30,0
peal,40,outfaro,30,outfaro,30,outfaro,30,0
peal,41,outfaro,30,outfaro,30,outfaro,30,10
peal,42,outfaro,30,outfaro,30,outfaro,30,5
peal,43,outfaro,30,outfaro,30,outfaro,30,-5
peal,44,outfaro,30,outfaro,30,outfaro,30,-5
peal,45,outfaro,30,outfaro,30,outfaro,30,15
peal,46,outfaro,30,outfaro,30,outfaro,30,-5
peal,47,outfaro,30,outfaro,30,outfaro,30,0
peal,48,outfaro,30,outfaro,30,outfaro,30,-5
peal,49,outfaro,30,outfaro,30,outfaro,30,-5
peal,50,outfaro,30,outfaro,30,outfaro,30,15
peal,51,outfaro,30,outfaro,30,outfaro,30,0
pealup,2,outfaro,30,outfaro,30,outfaro,30,10
pealup,3,outfaro,30,outfaro,30,outfaro,30,10
pealup,4,outfaro,30,outfaro,30,outfaro,30,5
pealup,5,outfaro,30,outfaro,30,outfaro,30,5
pealup,6,outfaro,30,outfaro,30,outfaro,30,5
pealup,7,outfaro,30,outfaro,30,outfaro,30,10
pealup,8,outfaro,30,outfaro,30,outfaro,30,5
pealup,9,outfaro,30,outfaro,30,outfaro,30,10
pealup,10,outfaro,30,outfaro,30,outfaro,30,5
pealup,11,outfaro,30,outfaro,30,outfaro,30,10
pealup,12,outfaro,30,outfaro,30,outfaro,30,5
pealup,13,outfaro,30,outfaro,30,outfaro,30,5
pealup,14,outfaro,30,outfaro,30,outfaro,30,10
pealup,15,outfaro,30,outfaro,30,outfaro,30,0
pealup,16,outfaro,30,outfaro,30,outfaro,30,0
pealup,17,outfaro,30,outfaro,30,outfaro,30,5
pealup,18,outfaro,30,outfaro,30,outfaro,30,0
pealup,19,outfaro,30,outfaro,30,outfaro,30,-5
pealup,20,outfaro,30,outfaro,30,outfaro,30,0
pealup,21,outfaro,30,outfaro,30,outfaro,30,0
pealup,22,outfaro,30,outfaro,30,outfaro,30,0
pealup,23,outfaro,30,outfaro,30,outfaro,30,0
pealup,24,outfaro,30,outfaro,30,outfaro,30,0
pealup,25,outfaro,30,outfaro,30,outfaro,30,0
pealup,26,outfaro,30,outfaro,30,outfaro,30,-5
pealup,27,outfaro,30,outfaro,30,outfaro,30,5
pealup,28,outfaro,30,outfaro,30,outfaro,30,5
pealup,29,outfaro,30,outfaro,30,outfaro,30,0
pealup,30,outfaro,30,outfaro,30,outfaro,30,5
pealup,31,outfaro,30,outfaro,30,outfaro,30,5
pealup,32,outfaro,30,outfaro,30,outfaro,30,-5
pealup,33,outfaro,30,outfaro,30,outfaro,30,0
pealup,34,outfaro,30,outfaro,30,outfaro,30,-5
pealup,35,outfaro,30,outfaro,30,outfaro,30,5
pealup,36,outfaro,30,outfaro,30,outfaro,30,0
pealup,37,outfaro,30,outfaro,30,outfaro,30,5
pealup,38,outfaro,30,outfaro,30,outfaro,30,15
pealup,39,outfaro,30,outfaro,30,outfaro,30,15
pealup,40,outfaro,30,outfaro,30,outfaro,30,10
pealup,41,outfaro,30,outfaro,30,outfaro,30,5
pealup,42,outfaro,30,outfaro,30,outfaro,30,10
pealup,43,outfaro,30,outfaro,30,outfaro,30,10
pealup,44,outfaro,30,outfaro,30,outfaro,30,0
pealup,45,outfaro,30,outfaro,30,outfaro,30,-5
pealup,46,outfaro,30,outfaro,30,outfaro,30,10
pealup,47,outfaro,30,outfaro,30,outfaro,30,10
pealup,48,outfaro,30,outfaro,30,outfaro,30,5
pealup,49,outfaro,30,outfaro,30,outfaro,30,-5
pealup,50,outfaro,30,outfaro,30,outfaro,30,0
pealup,51,outfaro,30,outfaro,30,outfaro,30,5
infaro,10,outfaro,30,outfaro,30,outfaro,30,0
infaro,11,outfaro,30,outfaro,30,outfaro,30,0
infaro,12,outfaro,30,outfaro,30,outfaro,30,0
infaro,13,outfaro,30,outfaro,30,outfaro,30,0
infaro,14,outfaro,30,outfaro,30,outfaro,30,5
infaro,15,outfaro,30,outfaro,30,outfaro,30,5
infaro,16,outfaro,30,outfaro,30,outfaro,30,20
infaro,17,outfaro,30,outfaro,30,outfaro,30,15
infaro,18,outfaro,30,outfaro,30,outfaro,30,10
infaro,19,outfaro,30,outfaro,30,outfaro,30,20
infaro,20,outfaro,30,outfaro,30,outfaro,30,25
infaro,21,outfaro,30,outfaro,30,outfaro,30,30
infaro,22,outfaro,30,outfaro,30,outfaro,30,70
infaro,23,outfaro,30,outfaro,30,outfaro,30,40
infaro,24,outfaro,30,outfaro,30,outfaro,30,25
infaro,25,outfaro,30,outfaro,30,outfaro,30,15
infaro,26,outfaro,30,outfaro,30,outfaro,30,25
infaro,27,outfaro,30,outfaro,30,outfaro,30,35
infaro,28,outfaro,30,outfaro,30,outfaro,30,25
infaro,29,outfaro,30,outfaro,30,outfaro,30,25
infaro,30,outfaro,30,outfaro,30,outfaro,30,30
infaro,31,outfaro,30,outfaro,30,outfaro,30,25
infaro,32,outfaro,30,outfaro,30,outfaro,30,20
infaro,33,outfaro,30,outfaro,30,outfaro,30,35
infaro,34,outfaro,30,outfaro,30,outfaro,30,25
infaro,35,outfaro,30,outfaro,30,outfaro,30,35
infaro,36,outfaro,30,outfaro,30,outfaro,30,15
infaro,37,outfaro,30,outfaro,30,outfaro,30,15
infaro,38,outfaro,30,outfaro,30,outfaro,30,15
infaro,39,outfaro,30,outfaro,30,outfaro,30,5
infaro,40,outfaro,30,outfaro,30,outfaro,30,15
infaro,41,outfaro,30,outfaro,30,outfaro,30,5
infaro,42,outfaro,30,outfaro,30,outfaro,30,5
infaroup,10,outfaro,30,outfaro,30,outfaro,30,0
infaroup,11,outfaro,30,outfaro,30,outfaro,30,0
infaroup,12,outfaro,30,outfaro,30,outfaro,30,-5
infaroup,13,outfaro,30,outfaro,30,outfaro,30,-5
infaroup,14,outfaro,30,outfaro,30,outfaro,30,-5
infaroup,15,outfaro,30,outfaro,30,outfaro,30,-5
infaroup,16,outfaro,30,outfaro,30,outfaro,30,-5
infaroup,17,outfaro,30,outfaro,30,outfaro,30,0
infaroup,18,outfaro,30,outfaro,30,outfaro,30,0
infaroup,19,outfaro,30,outfaro,30,outfaro,30,5
infaroup,20,outfaro,30,outfaro,30,outfaro,30,15
infaroup,21,outfaro,30,outfaro,30,outfaro,30,5
infaroup,22,outfaro,30,outfaro,30,outfaro,30,5
infaroup,23,outfaro,30,outfaro,30,outfaro,30,15
infaroup,24,outfaro,30,outfaro,30,outfaro,30,15
infaroup,25,outfaro,30,outfaro,30,outfaro,30,20
infaroup,26,outfaro,30,outfaro,30,outfaro,30,25
infaroup,27,outfaro,30,outfaro,30,outfaro,30,15
infaroup,28,outfaro,30,outfaro,30,outfaro,30,30
infaroup,29,outfaro,30,outfaro,30,outfaro,30,35
infaroup,30,outfaro,30,outfaro,30,outfaro,30,15
infaroup,31,outfaro,30,outfaro,30,outfaro,30,15
infaroup,32,outfaro,30,outfaro,30,outfaro,30,25
infaroup,33,outfaro,30,outfaro,30,outfaro,30,25
infaroup,34,outfaro,30,outfaro,30,outfaro,30,0
infaroup,35,outfaro,30,outfaro,30,outfaro,30,5
infaroup,36,outfaro,30,outfaro,30,outfaro,30,-5
infaroup,37,outfaro,30,outfaro,30,outfaro,30,25
infaroup,38,outfaro,30,outfaro,30,outfaro,30,0
infaroup,39,outfaro,30,outfaro,30,outfaro,30,0
infaroup,40,outfaro,30,outfaro,30,outfaro,30,5
infaroup,41,outfaro,30,outfaro,30,outfaro,30,10
infaroup,42,outfaro,30,outfaro,30,outfaro,30,5
outfaro,10,outfaro,30,outfaro,30,outfaro,30,-5
outfaro,11,outfaro,30,outfaro,30,outfaro,30,-5
outfaro,12,outfaro,30,outfaro,30,outfaro,30,-5
outfaro,13,outfaro,30,outfaro,30,outfaro,30,-5
outfaro,14,outfaro,30,outfaro,30,outfaro,30,-5
outfaro,15,outfaro,30,outfaro,30,outfaro,30,0
outfaro,16,outfaro,30,outfaro,30,outfaro,30,0
outfaro,17,outfaro,30,outfaro,30,outfaro,30,5
outfaro,18,outfaro,30,outfaro,30,outfaro,30,0
outfaro,19,outfaro,30,outfaro,30,outfaro,30,5
outfaro,20,outfaro,30,outfaro,30,outfaro,30,15
outfaro,21,outfaro,30,outfaro,30,outfaro,30,25
outfaro,22,outfaro,30,outfaro,30,outfaro,30,25
outfaro,23,outfaro,30,outfaro,30,outfaro,30,20
outfaro,24,outfaro,30,outfaro,30,outfaro,30,15
outfaro,25,outfaro,30,outfaro,30,outfaro,30,5
outfaro,26,outfaro,30,outfaro,30,outfaro,30,10
outfaro,27,outfaro,30,outfaro,30,outfaro,30,15
outfaro,28,outfaro,30,outfaro,30,outfaro,30,15
outfaro,29,outfaro,30,outfaro,30,outfaro,30,20
outfaro,30,outfaro,30,outfaro,30,outfaro,30,30
outfaro,31,outfaro,30,outfaro,30,outfaro,30,15
outfaro,32,outfaro,30,outfaro,30,outfaro,30,5
outfaro,33,outfaro,30,outfaro,30,outfaro,30,0
outfaro,34,outfaro,30,outfaro,30,outfaro,30,0
outfaro,35,outfaro,30,outfaro,30,outfaro,30,0
outfaro,36,outfaro,30,outfaro,30,outfaro,30,10
outfaro,37,outfaro,30,outfaro,30,outfaro,30,5
outfaro,38,outfaro,30,outfaro,30,outfaro,30,5
outfaro,39,outfaro,30,outfaro,30,outfaro,30,0
outfaro,40,outfaro,30,outfaro,30,outfaro,30,0
outfaro,41,outfaro,30,outfaro,30,outfaro,30,5
outfaro,42,outfaro,30,outfaro,30,outfaro,30,-5
outfaroup,10,outfaro,30,outfaro,30,outfaro,30,-5
outfaroup,11,outfaro,30,outfaro,30,outfaro,30,0
outfaroup,12,outfaro,30,outfaro,30,outfaro,30,0
outfaroup,13,outfaro,30,outfaro,30,outfaro,30,0
outfaroup,14,outfaro,30,outfaro,30,outfaro,30,0
outfaroup,15,outfaro,30,outfaro,30,outfaro,30,5
outfaroup,16,outfaro,30,outfaro,30,outfaro,30,0
outfaroup,17,outfaro,30,outfaro,30,outfaro,30,0
outfaroup,18,outfaro,30,outfaro,30,outfaro,30,0
outfaroup,19,outfaro,30,outfaro,30,outfaro,30,5
outfaroup,20,outfaro,30,outfaro,30,outfaro,30,5
outfaroup,21,outfaro,30,outfaro,30,outfaro,30,5
outfaroup,22,outfaro,30,outfaro,30,outfaro,30,10
outfaroup,23,outfaro,30,outfaro,30,outfaro,30,10
outfaroup,24,outfaro,30,outfaro,30,outfaro,30,15
outfaroup,25,outfaro,30,outfaro,30,outfaro,30,15
outfaroup,26,outfaro,30,outfaro,30,outfaro,30,10
outfaroup,27,outfaro,30,outfaro,30,outfaro,30,20
outfaroup,28,outfaro,30,outfaro,30,outfaro,30,20
outfaroup,29,outfaro,30,outfaro,30,outfaro,30,20
outfaroup,30,outfaro,30,outfaro,30,outfaro,30,25
outfaroup,31,outfaro,30,outfaro,30,outfaro,30,15
outfaroup,32,outfaro,30,outfaro,30,outfaro,30,15
outfaroup,33,outfaro,30,outfaro,30,outfaro,30,5
outfaroup,34,outfaro,30,outfaro,30,outfaro,30,20
outfaroup,35,outfaro,30,outfaro,30,outfaro,30,5
outfaroup,36,outfaro,30,outfaro,30,outfaro,30,0
outfaroup,37,outfaro,30,outfaro,30,outfaro,30,15
outfaroup,38,outfaro,30,outfaro,30,outfaro,30,0
outfaroup,39,outfaro,30,outfaro,30,outfaro,30,10
outfaroup,40,outfaro,30,outfaro,30,outfaro,30,0
outfaroup,41,outfaro,30,outfaro,30,outfaro,30,5
outfaroup,42,outfaro,30,outfaro,30,outfaro,30,10
