maintained,technique,is,SLIPCUTUP,and,the,number,is,40
slipcut,40,slipcut,40,slipcut,40,slipcut,11,0
slipcut,40,slipcut,40,slipcut,40,slipcut,12,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,13,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,14,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,15,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,16,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,17,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,18,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,19,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,20,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,21,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,22,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,23,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,24,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,25,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,26,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,27,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,28,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,29,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,30,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,31,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,32,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,33,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,34,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,35,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,36,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,37,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,38,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,39,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,40,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,41,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,42,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,43,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,44,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,45,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,46,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,47,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,48,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,49,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,50,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,51,-10
slipcut,40,slipcut,40,slipcut,40,slipcut,2,120
slipcut,40,slipcut,40,slipcut,40,slipcut,3,130
slipcut,40,slipcut,40,slipcut,40,slipcut,4,140
slipcut,40,slipcut,40,slipcut,40,slipcut,5,150
slipcut,40,slipcut,40,slipcut,40,slipcut,6,160
slipcut,40,slipcut,40,slipcut,40,slipcut,7,170
slipcut,40,slipcut,40,slipcut,40,slipcut,8,180
slipcut,40,slipcut,40,slipcut,40,slipcut,9,190
slipcut,40,slipcut,40,slipcut,40,slipcut,10,200
slipcut,40,slipcut,40,slipcut,40,slipcut,11,210
slipcut,40,slipcut,40,slipcut,40,slipcut,12,220
slipcut,40,slipcut,40,slipcut,40,slipcut,13,230
slipcut,40,slipcut,40,slipcut,40,slipcut,14,240
slipcut,40,slipcut,40,slipcut,40,slipcut,15,250
slipcut,40,slipcut,40,slipcut,40,slipcut,16,260
slipcut,40,slipcut,40,slipcut,40,slipcut,17,270
slipcut,40,slipcut,40,slipcut,40,slipcut,18,280
slipcut,40,slipcut,40,slipcut,40,slipcut,19,290
slipcut,40,slipcut,40,slipcut,40,slipcut,20,300
slipcut,40,slipcut,40,slipcut,40,slipcut,21,310
slipcut,40,slipcut,40,slipcut,40,slipcut,22,320
slipcut,40,slipcut,40,slipcut,40,slipcut,23,330
slipcut,40,slipcut,40,slipcut,40,slipcut,24,340
slipcut,40,slipcut,40,slipcut,40,slipcut,25,350
slipcut,40,slipcut,40,slipcut,40,slipcut,26,360
slipcut,40,slipcut,40,slipcut,40,slipcut,27,370
slipcut,40,slipcut,40,slipcut,40,slipcut,28,380
slipcut,40,slipcut,40,slipcut,40,slipcut,29,390
slipcut,40,slipcut,40,slipcut,40,slipcut,30,400
slipcut,40,slipcut,40,slipcut,40,slipcut,31,410
slipcut,40,slipcut,40,slipcut,40,slipcut,32,420
slipcut,40,slipcut,40,slipcut,40,slipcut,33,430
slipcut,40,slipcut,40,slipcut,40,slipcut,34,440
slipcut,40,slipcut,40,slipcut,40,slipcut,35,450
slipcut,40,slipcut,40,slipcut,40,slipcut,36,460
slipcut,40,slipcut,40,slipcut,40,slipcut,37,470
slipcut,40,slipcut,40,slipcut,40,slipcut,38,480
slipcut,40,slipcut,40,slipcut,40,slipcut,39,490
slipcut,40,slipcut,40,slipcut,40,slipcut,40,510
slipcut,40,slipcut,40,slipcut,40,slipcut,41,490
slipcut,40,slipcut,40,slipcut,40,slipcut,42,480
slipcut,40,slipcut,40,slipcut,40,slipcut,43,470
slipcut,40,slipcut,40,slipcut,40,slipcut,44,460
slipcut,40,slipcut,40,slipcut,40,slipcut,45,450
slipcut,40,slipcut,40,slipcut,40,slipcut,46,440
slipcut,40,slipcut,40,slipcut,40,slipcut,47,430
slipcut,40,slipcut,40,slipcut,40,slipcut,48,420
slipcut,40,slipcut,40,slipcut,40,slipcut,49,410
slipcut,40,slipcut,40,slipcut,40,slipcut,50,400
slipcut,40,slipcut,40,slipcut,40,slipcut,51,390
slipcut,40,slipcut,40,slipcut,40,peal,2,90
slipcut,40,slipcut,40,slipcut,40,peal,3,90
slipcut,40,slipcut,40,slipcut,40,peal,4,70
slipcut,40,slipcut,40,slipcut,40,peal,5,70
slipcut,40,slipcut,40,slipcut,40,peal,6,50
slipcut,40,slipcut,40,slipcut,40,peal,7,50
slipcut,40,slipcut,40,slipcut,40,peal,8,30
slipcut,40,slipcut,40,slipcut,40,peal,9,30
slipcut,40,slipcut,40,slipcut,40,peal,10,10
slipcut,40,slipcut,40,slipcut,40,peal,11,10
slipcut,40,slipcut,40,slipcut,40,peal,12,-10
slipcut,40,slipcut,40,slipcut,40,peal,13,0
slipcut,40,slipcut,40,slipcut,40,peal,14,-10
slipcut,40,slipcut,40,slipcut,40,peal,15,0
slipcut,40,slipcut,40,slipcut,40,peal,16,-10
slipcut,40,slipcut,40,slipcut,40,peal,17,0
slipcut,40,slipcut,40,slipcut,40,peal,18,-10
slipcut,40,slipcut,40,slipcut,40,peal,19,0
slipcut,40,slipcut,40,slipcut,40,peal,20,-10
slipcut,40,slipcut,40,slipcut,40,peal,21,0
slipcut,40,slipcut,40,slipcut,40,peal,22,-10
slipcut,40,slipcut,40,slipcut,40,peal,23,0
slipcut,40,slipcut,40,slipcut,40,peal,24,-10
slipcut,40,slipcut,40,slipcut,40,peal,25,-10
slipcut,40,slipcut,40,slipcut,40,peal,26,0
slipcut,40,slipcut,40,slipcut,40,peal,27,-10
slipcut,40,slipcut,40,slipcut,40,peal,28,0
slipcut,40,slipcut,40,slipcut,40,peal,29,-10
slipcut,40,slipcut,40,slipcut,40,peal,30,0
slipcut,40,slipcut,40,slipcut,40,peal,31,-10
slipcut,40,slipcut,40,slipcut,40,peal,32,0
slipcut,40,slipcut,40,slipcut,40,peal,33,-10
slipcut,40,slipcut,40,slipcut,40,peal,34,0
slipcut,40,slipcut,40,slipcut,40,peal,35,-10
slipcut,40,slipcut,40,slipcut,40,peal,36,0
slipcut,40,slipcut,40,slipcut,40,peal,37,-10
slipcut,40,slipcut,40,slipcut,40,peal,38,0
slipcut,40,slipcut,40,slipcut,40,peal,39,-10
slipcut,40,slipcut,40,slipcut,40,peal,40,0
slipcut,40,slipcut,40,slipcut,40,peal,41,-10
slipcut,40,slipcut,40,slipcut,40,peal,42,0
slipcut,40,slipcut,40,slipcut,40,peal,43,-10
slipcut,40,slipcut,40,slipcut,40,peal,44,0
slipcut,40,slipcut,40,slipcut,40,peal,45,-10
slipcut,40,slipcut,40,slipcut,40,peal,46,0
slipcut,40,slipcut,40,slipcut,40,peal,47,-10
slipcut,40,slipcut,40,slipcut,40,peal,48,0
slipcut,40,slipcut,40,slipcut,40,peal,49,-10
slipcut,40,slipcut,40,slipcut,40,peal,50,0
slipcut,40,slipcut,40,slipcut,40,peal,51,-10
slipcut,40,slipcut,40,slipcut,40,pealup,2,120
slipcut,40,slipcut,40,slipcut,40,pealup,3,110
slipcut,40,slipcut,40,slipcut,40,pealup,4,120
slipcut,40,slipcut,40,slipcut,40,pealup,5,110
slipcut,40,slipcut,40,slipcut,40,pealup,6,120
slipcut,40,slipcut,40,slipcut,40,pealup,7,110
slipcut,40,slipcut,40,slipcut,40,pealup,8,120
slipcut,40,slipcut,40,slipcut,40,pealup,9,110
slipcut,40,slipcut,40,slipcut,40,pealup,10,120
slipcut,40,slipcut,40,slipcut,40,pealup,11,110
slipcut,40,slipcut,40,slipcut,40,pealup,12,120
slipcut,40,slipcut,40,slipcut,40,pealup,13,110
slipcut,40,slipcut,40,slipcut,40,pealup,14,120
slipcut,40,slipcut,40,slipcut,40,pealup,15,110
slipcut,40,slipcut,40,slipcut,40,pealup,16,120
slipcut,40,slipcut,40,slipcut,40,pealup,17,110
slipcut,40,slipcut,40,slipcut,40,pealup,18,120
slipcut,40,slipcut,40,slipcut,40,pealup,19,110
slipcut,40,slipcut,40,slipcut,40,pealup,20,120
slipcut,40,slipcut,40,slipcut,40,pealup,21,110
slipcut,40,slipcut,40,slipcut,40,pealup,22,120
slipcut,40,slipcut,40,slipcut,40,pealup,23,110
slipcut,40,slipcut,40,slipcut,40,pealup,24,120
slipcut,40,slipcut,40,slipcut,40,pealup,25,110
slipcut,40,slipcut,40,slipcut,40,pealup,26,120
slipcut,40,slipcut,40,slipcut,40,pealup,27,110
slipcut,40,slipcut,40,slipcut,40,pealup,28,120
slipcut,40,slipcut,40,slipcut,40,pealup,29,110
slipcut,40,slipcut,40,slipcut,40,pealup,30,120
slipcut,40,slipcut,40,slipcut,40,pealup,31,110
slipcut,40,slipcut,40,slipcut,40,pealup,32,120
slipcut,40,slipcut,40,slipcut,40,pealup,33,110
slipcut,40,slipcut,40,slipcut,40,pealup,34,120
slipcut,40,slipcut,40,slipcut,40,pealup,35,110
slipcut,40,slipcut,40,slipcut,40,pealup,36,120
slipcut,40,slipcut,40,slipcut,40,pealup,37,110
