maintained,technique,is,SLIPCUT,and,the,number,is,30
slipcut,30,slipcut,30,slipcut,30,cut,1,280
slipcut,30,slipcut,30,slipcut,30,cut,2,-10
slipcut,30,slipcut,30,slipcut,30,cut,3,-10
slipcut,30,slipcut,30,slipcut,30,cut,4,-10
slipcut,30,slipcut,30,slipcut,30,cut,5,-10
slipcut,30,slipcut,30,slipcut,30,cut,6,-10
slipcut,30,slipcut,30,slipcut,30,cut,7,-10
slipcut,30,slipcut,30,slipcut,30,cut,8,-10
slipcut,30,slipcut,30,slipcut,30,cut,9,-10
slipcut,30,slipcut,30,slipcut,30,cut,10,-10
slipcut,30,slipcut,30,slipcut,30,cut,11,-10
slipcut,30,slipcut,30,slipcut,30,cut,12,-10
slipcut,30,slipcut,30,slipcut,30,cut,13,-10
slipcut,30,slipcut,30,slipcut,30,cut,14,-10
slipcut,30,slipcut,30,slipcut,30,cut,15,-10
slipcut,30,slipcut,30,slipcut,30,cut,16,-10
slipcut,30,slipcut,30,slipcut,30,cut,17,-10
slipcut,30,slipcut,30,slipcut,30,cut,18,-10
slipcut,30,slipcut,30,slipcut,30,cut,19,-10
slipcut,30,slipcut,30,slipcut,30,cut,20,-10
slipcut,30,slipcut,30,slipcut,30,cut,21,-10
slipcut,30,slipcut,30,slipcut,30,cut,22,-10
slipcut,30,slipcut,30,slipcut,30,cut,23,0
slipcut,30,slipcut,30,slipcut,30,cut,24,-10
slipcut,30,slipcut,30,slipcut,30,cut,25,-10
slipcut,30,slipcut,30,slipcut,30,cut,26,-10
slipcut,30,slipcut,30,slipcut,30,cut,27,-10
slipcut,30,slipcut,30,slipcut,30,cut,28,-10
slipcut,30,slipcut,30,slipcut,30,cut,29,-10
slipcut,30,slipcut,30,slipcut,30,cut,30,-10
slipcut,30,slipcut,30,slipcut,30,cut,31,-10
slipcut,30,slipcut,30,slipcut,30,cut,32,-10
slipcut,30,slipcut,30,slipcut,30,cut,33,-10
slipcut,30,slipcut,30,slipcut,30,cut,34,-10
slipcut,30,slipcut,30,slipcut,30,cut,35,-10
slipcut,30,slipcut,30,slipcut,30,cut,36,-10
slipcut,30,slipcut,30,slipcut,30,cut,37,-10
slipcut,30,slipcut,30,slipcut,30,cut,38,-10
slipcut,30,slipcut,30,slipcut,30,cut,39,-10
slipcut,30,slipcut,30,slipcut,30,cut,40,-10
slipcut,30,slipcut,30,slipcut,30,cut,41,-10
slipcut,30,slipcut,30,slipcut,30,cut,42,-10
slipcut,30,slipcut,30,slipcut,30,cut,43,-10
slipcut,30,slipcut,30,slipcut,30,cut,44,-10
slipcut,30,slipcut,30,slipcut,30,cut,45,-10
slipcut,30,slipcut,30,slipcut,30,cut,46,-10
slipcut,30,slipcut,30,slipcut,30,cut,47,-10
slipcut,30,slipcut,30,slipcut,30,cut,48,-10
slipcut,30,slipcut,30,slipcut,30,cut,49,-10
slipcut,30,slipcut,30,slipcut,30,cut,50,-10
slipcut,30,slipcut,30,slipcut,30,cut,51,-10
slipcut,30,slipcut,30,slipcut,30,slipcut,2,220
slipcut,30,slipcut,30,slipcut,30,slipcut,3,230
slipcut,30,slipcut,30,slipcut,30,slipcut,4,240
slipcut,30,slipcut,30,slipcut,30,slipcut,5,250
slipcut,30,slipcut,30,slipcut,30,slipcut,6,260
slipcut,30,slipcut,30,slipcut,30,slipcut,7,270
slipcut,30,slipcut,30,slipcut,30,slipcut,8,280
slipcut,30,slipcut,30,slipcut,30,slipcut,9,290
slipcut,30,slipcut,30,slipcut,30,slipcut,10,300
slipcut,30,slipcut,30,slipcut,30,slipcut,11,310
slipcut,30,slipcut,30,slipcut,30,slipcut,12,320
slipcut,30,slipcut,30,slipcut,30,slipcut,13,330
slipcut,30,slipcut,30,slipcut,30,slipcut,14,340
slipcut,30,slipcut,30,slipcut,30,slipcut,15,350
slipcut,30,slipcut,30,slipcut,30,slipcut,16,360
slipcut,30,slipcut,30,slipcut,30,slipcut,17,370
slipcut,30,slipcut,30,slipcut,30,slipcut,18,380
slipcut,30,slipcut,30,slipcut,30,slipcut,19,390
slipcut,30,slipcut,30,slipcut,30,slipcut,20,400
slipcut,30,slipcut,30,slipcut,30,slipcut,21,410
