maintained,technique,is,SLIPCUTUP,and,the,number,is,30
cut,1,slipcut,30,slipcut,30,slipcut,30,-10
cut,2,slipcut,30,slipcut,30,slipcut,30,-10
cut,3,slipcut,30,slipcut,30,slipcut,30,-10
cut,4,slipcut,30,slipcut,30,slipcut,30,-10
cut,5,slipcut,30,slipcut,30,slipcut,30,-10
cut,6,slipcut,30,slipcut,30,slipcut,30,-10
cut,7,slipcut,30,slipcut,30,slipcut,30,-10
cut,8,slipcut,30,slipcut,30,slipcut,30,-10
cut,9,slipcut,30,slipcut,30,slipcut,30,-10
cut,10,slipcut,30,slipcut,30,slipcut,30,-10
cut,11,slipcut,30,slipcut,30,slipcut,30,-10
cut,12,slipcut,30,slipcut,30,slipcut,30,-10
cut,13,slipcut,30,slipcut,30,slipcut,30,-10
cut,14,slipcut,30,slipcut,30,slipcut,30,-10
cut,15,slipcut,30,slipcut,30,slipcut,30,-10
cut,16,slipcut,30,slipcut,30,slipcut,30,-10
cut,17,slipcut,30,slipcut,30,slipcut,30,-10
cut,18,slipcut,30,slipcut,30,slipcut,30,-10
cut,19,slipcut,30,slipcut,30,slipcut,30,-10
cut,20,slipcut,30,slipcut,30,slipcut,30,-10
cut,21,slipcut,30,slipcut,30,slipcut,30,-10
cut,22,slipcut,30,slipcut,30,slipcut,30,-10
cut,23,slipcut,30,slipcut,30,slipcut,30,-10
cut,24,slipcut,30,slipcut,30,slipcut,30,-10
cut,25,slipcut,30,slipcut,30,slipcut,30,-10
cut,26,slipcut,30,slipcut,30,slipcut,30,-10
cut,27,slipcut,30,slipcut,30,slipcut,30,-10
cut,28,slipcut,30,slipcut,30,slipcut,30,-10
cut,29,slipcut,30,slipcut,30,slipcut,30,0
cut,30,slipcut,30,slipcut,30,slipcut,30,-10
cut,31,slipcut,30,slipcut,30,slipcut,30,-10
cut,32,slipcut,30,slipcut,30,slipcut,30,-10
cut,33,slipcut,30,slipcut,30,slipcut,30,-10
cut,34,slipcut,30,slipcut,30,slipcut,30,-10
