maintained,technique,is,PEALUP,and,the,number,is,30
pealup,30,pealup,30,pealup,30,slipcut,22,215
pealup,30,pealup,30,pealup,30,slipcut,23,215
pealup,30,pealup,30,pealup,30,slipcut,24,215
pealup,30,pealup,30,pealup,30,slipcut,25,215
pealup,30,pealup,30,pealup,30,slipcut,26,215
pealup,30,pealup,30,pealup,30,slipcut,27,215
pealup,30,pealup,30,pealup,30,slipcut,28,215
pealup,30,pealup,30,pealup,30,slipcut,29,215
pealup,30,pealup,30,pealup,30,slipcut,30,225
pealup,30,pealup,30,pealup,30,slipcut,31,205
pealup,30,pealup,30,pealup,30,slipcut,32,200
pealup,30,pealup,30,pealup,30,slipcut,33,195
pealup,30,pealup,30,pealup,30,slipcut,34,190
pealup,30,pealup,30,pealup,30,slipcut,35,185
pealup,30,pealup,30,pealup,30,slipcut,36,180
pealup,30,pealup,30,pealup,30,slipcut,37,175
pealup,30,pealup,30,pealup,30,slipcut,38,170
pealup,30,pealup,30,pealup,30,slipcut,39,165
pealup,30,pealup,30,pealup,30,slipcut,40,160
pealup,30,pealup,30,pealup,30,slipcut,41,155
pealup,30,pealup,30,pealup,30,slipcut,42,150
pealup,30,pealup,30,pealup,30,slipcut,43,145
pealup,30,pealup,30,pealup,30,slipcut,44,140
pealup,30,pealup,30,pealup,30,slipcut,45,135
pealup,30,pealup,30,pealup,30,slipcut,46,130
pealup,30,pealup,30,pealup,30,slipcut,47,125
pealup,30,pealup,30,pealup,30,slipcut,48,120
pealup,30,pealup,30,pealup,30,slipcut,49,115
pealup,30,pealup,30,pealup,30,slipcut,50,110
pealup,30,pealup,30,pealup,30,slipcut,51,105
pealup,30,pealup,30,pealup,30,peal,2,190
pealup,30,pealup,30,pealup,30,peal,3,185
pealup,30,pealup,30,pealup,30,peal,4,170
pealup,30,pealup,30,pealup,30,peal,5,165
pealup,30,pealup,30,pealup,30,peal,6,150
pealup,30,pealup,30,pealup,30,peal,7,145
pealup,30,pealup,30,pealup,30,peal,8,130
pealup,30,pealup,30,pealup,30,peal,9,125
pealup,30,pealup,30,pealup,30,peal,10,110
pealup,30,pealup,30,pealup,30,peal,11,105
pealup,30,pealup,30,pealup,30,peal,12,90
pealup,30,pealup,30,pealup,30,peal,13,85
pealup,30,pealup,30,pealup,30,peal,14,70
pealup,30,pealup,30,pealup,30,peal,15,65
pealup,30,pealup,30,pealup,30,peal,16,50
pealup,30,pealup,30,pealup,30,peal,17,45
pealup,30,pealup,30,pealup,30,peal,18,30
pealup,30,pealup,30,pealup,30,peal,19,25
pealup,30,pealup,30,pealup,30,peal,20,10
pealup,30,pealup,30,pealup,30,peal,21,5
pealup,30,pealup,30,pealup,30,peal,22,-5
pealup,30,pealup,30,pealup,30,peal,23,0
pealup,30,pealup,30,pealup,30,peal,24,0
pealup,30,pealup,30,pealup,30,peal,25,10
pealup,30,pealup,30,pealup,30,peal,26,10
pealup,30,pealup,30,pealup,30,peal,27,20
pealup,30,pealup,30,pealup,30,peal,28,20
pealup,30,pealup,30,pealup,30,peal,29,30
pealup,30,pealup,30,pealup,30,peal,30,30
pealup,30,pealup,30,pealup,30,peal,31,40
pealup,30,pealup,30,pealup,30,peal,32,40
pealup,30,pealup,30,pealup,30,peal,33,50
pealup,30,pealup,30,pealup,30,peal,34,50
pealup,30,pealup,30,pealup,30,peal,35,60
pealup,30,pealup,30,pealup,30,peal,36,60
pealup,30,pealup,30,pealup,30,peal,37,70
pealup,30,pealup,30,pealup,30,peal,38,70
pealup,30,pealup,30,pealup,30,peal,39,80
pealup,30,pealup,30,pealup,30,peal,40,80
pealup,30,pealup,30,pealup,30,peal,41,90
pealup,30,pealup,30,pealup,30,peal,42,90
pealup,30,pealup,30,pealup,30,peal,43,100
pealup,30,pealup,30,pealup,30,peal,44,100
pealup,30,pealup,30,pealup,30,peal,45,105
pealup,30,pealup,30,pealup,30,peal,46,110
pealup,30,pealup,30,pealup,30,peal,47,115
pealup,30,pealup,30,pealup,30,peal,48,120
pealup,30,pealup,30,pealup,30,peal,49,125
pealup,30,pealup,30,pealup,30,peal,50,130
pealup,30,pealup,30,pealup,30,peal,51,135
pealup,30,pealup,30,pealup,30,pealup,2,215
pealup,30,pealup,30,pealup,30,pealup,3,220
pealup,30,pealup,30,pealup,30,pealup,4,225
pealup,30,pealup,30,pealup,30,pealup,5,230
pealup,30,pealup,30,pealup,30,pealup,6,235
pealup,30,pealup,30,pealup,30,pealup,7,240
pealup,30,pealup,30,pealup,30,pealup,8,245
pealup,30,pealup,30,pealup,30,pealup,9,250
pealup,30,pealup,30,pealup,30,pealup,10,255
pealup,30,pealup,30,pealup,30,pealup,11,260
pealup,30,pealup,30,pealup,30,pealup,12,265
pealup,30,pealup,30,pealup,30,pealup,13,270
pealup,30,pealup,30,pealup,30,pealup,14,275
pealup,30,pealup,30,pealup,30,pealup,15,280
pealup,30,pealup,30,pealup,30,pealup,16,285
pealup,30,pealup,30,pealup,30,pealup,17,290
pealup,30,pealup,30,pealup,30,pealup,18,295
pealup,30,pealup,30,pealup,30,pealup,19,300
pealup,30,pealup,30,pealup,30,pealup,20,305
pealup,30,pealup,30,pealup,30,pealup,21,310
pealup,30,pealup,30,pealup,30,pealup,22,315
pealup,30,pealup,30,pealup,30,pealup,23,320
pealup,30,pealup,30,pealup,30,pealup,24,325
pealup,30,pealup,30,pealup,30,pealup,25,330
pealup,30,pealup,30,pealup,30,pealup,26,335
pealup,30,pealup,30,pealup,30,pealup,27,340
pealup,30,pealup,30,pealup,30,pealup,28,345
pealup,30,pealup,30,pealup,30,pealup,29,350
pealup,30,pealup,30,pealup,30,pealup,30,510
pealup,30,pealup,30,pealup,30,pealup,31,345
pealup,30,pealup,30,pealup,30,pealup,32,335
pealup,30,pealup,30,pealup,30,pealup,33,325
pealup,30,pealup,30,pealup,30,pealup,34,315
pealup,30,pealup,30,pealup,30,pealup,35,305
pealup,30,pealup,30,pealup,30,pealup,36,295
pealup,30,pealup,30,pealup,30,pealup,37,285
pealup,30,pealup,30,pealup,30,pealup,38,275
pealup,30,pealup,30,pealup,30,pealup,39,265
pealup,30,pealup,30,pealup,30,pealup,40,255
pealup,30,pealup,30,pealup,30,pealup,41,245
pealup,30,pealup,30,pealup,30,pealup,42,235
pealup,30,pealup,30,pealup,30,pealup,43,225
pealup,30,pealup,30,pealup,30,pealup,44,215
pealup,30,pealup,30,pealup,30,pealup,45,205
pealup,30,pealup,30,pealup,30,pealup,46,195
pealup,30,pealup,30,pealup,30,pealup,47,185
pealup,30,pealup,30,pealup,30,pealup,48,175
pealup,30,pealup,30,pealup,30,pealup,49,165
pealup,30,pealup,30,pealup,30,pealup,50,155
pealup,30,pealup,30,pealup,30,pealup,51,145
pealup,30,pealup,30,pealup,30,infaro,10,10
pealup,30,pealup,30,pealup,30,infaro,11,-5
pealup,30,pealup,30,pealup,30,infaro,12,-5
pealup,30,pealup,30,pealup,30,infaro,13,-5
pealup,30,pealup,30,pealup,30,infaro,14,-5
pealup,30,pealup,30,pealup,30,infaro,15,-5
pealup,30,pealup,30,pealup,30,infaro,16,-5
pealup,30,pealup,30,pealup,30,infaro,17,-5
pealup,30,pealup,30,pealup,30,infaro,18,-5
pealup,30,pealup,30,pealup,30,infaro,19,0
pealup,30,pealup,30,pealup,30,infaro,20,-5
pealup,30,pealup,30,pealup,30,infaro,21,-5
pealup,30,pealup,30,pealup,30,infaro,22,0
pealup,30,pealup,30,pealup,30,infaro,23,-5
pealup,30,pealup,30,pealup,30,infaro,24,-5
pealup,30,pealup,30,pealup,30,infaro,25,5
pealup,30,pealup,30,pealup,30,infaro,26,0
pealup,30,pealup,30,pealup,30,infaro,27,0
pealup,30,pealup,30,pealup,30,infaro,28,0
pealup,30,pealup,30,pealup,30,infaro,29,5
pealup,30,pealup,30,pealup,30,infaro,30,-5
pealup,30,pealup,30,pealup,30,infaro,31,10
pealup,30,pealup,30,pealup,30,infaro,32,5
pealup,30,pealup,30,pealup,30,infaro,33,15
pealup,30,pealup,30,pealup,30,infaro,34,20
pealup,30,pealup,30,pealup,30,infaro,35,25
pealup,30,pealup,30,pealup,30,infaro,36,25
pealup,30,pealup,30,pealup,30,infaro,37,40
pealup,30,pealup,30,pealup,30,infaro,38,35
pealup,30,pealup,30,pealup,30,infaro,39,45
pealup,30,pealup,30,pealup,30,infaro,40,50
pealup,30,pealup,30,pealup,30,infaro,41,55
pealup,30,pealup,30,pealup,30,infaro,42,55
pealup,30,pealup,30,pealup,30,infaroup,10,210
pealup,30,pealup,30,pealup,30,infaroup,11,215
pealup,30,pealup,30,pealup,30,infaroup,12,210
pealup,30,pealup,30,pealup,30,infaroup,13,210
pealup,30,pealup,30,pealup,30,infaroup,14,215
pealup,30,pealup,30,pealup,30,infaroup,15,210
pealup,30,pealup,30,pealup,30,infaroup,16,190
pealup,30,pealup,30,pealup,30,infaroup,17,175
pealup,30,pealup,30,pealup,30,infaroup,18,150
pealup,30,pealup,30,pealup,30,infaroup,19,130
pealup,30,pealup,30,pealup,30,infaroup,20,115
pealup,30,pealup,30,pealup,30,infaroup,21,90
pealup,30,pealup,30,pealup,30,infaroup,22,70
pealup,30,pealup,30,pealup,30,infaroup,23,55
pealup,30,pealup,30,pealup,30,infaroup,24,30
pealup,30,pealup,30,pealup,30,infaroup,25,10
pealup,30,pealup,30,pealup,30,infaroup,26,0
pealup,30,pealup,30,pealup,30,infaroup,27,-5
pealup,30,pealup,30,pealup,30,infaroup,28,-5
pealup,30,pealup,30,pealup,30,infaroup,29,5
pealup,30,pealup,30,pealup,30,infaroup,30,-5
pealup,30,pealup,30,pealup,30,infaroup,31,-5
pealup,30,pealup,30,pealup,30,infaroup,32,0
pealup,30,pealup,30,pealup,30,infaroup,33,5
pealup,30,pealup,30,pealup,30,infaroup,34,10
pealup,30,pealup,30,pealup,30,infaroup,35,15
pealup,30,pealup,30,pealup,30,infaroup,36,20
pealup,30,pealup,30,pealup,30,infaroup,37,25
pealup,30,pealup,30,pealup,30,infaroup,38,30
pealup,30,pealup,30,pealup,30,infaroup,39,35
pealup,30,pealup,30,pealup,30,infaroup,40,40
pealup,30,pealup,30,pealup,30,infaroup,41,45
pealup,30,pealup,30,pealup,30,infaroup,42,50
pealup,30,pealup,30,pealup,30,outfaro,10,25
pealup,30,pealup,30,pealup,30,outfaro,11,5
pealup,30,pealup,30,pealup,30,outfaro,12,0
pealup,30,pealup,30,pealup,30,outfaro,13,0
pealup,30,pealup,30,pealup,30,outfaro,14,0
pealup,30,pealup,30,pealup,30,outfaro,15,0
pealup,30,pealup,30,pealup,30,outfaro,16,0
pealup,30,pealup,30,pealup,30,outfaro,17,0
pealup,30,pealup,30,pealup,30,outfaro,18,0
pealup,30,pealup,30,pealup,30,outfaro,19,0
pealup,30,pealup,30,pealup,30,outfaro,20,0
pealup,30,pealup,30,pealup,30,outfaro,21,5
pealup,30,pealup,30,pealup,30,outfaro,22,0
pealup,30,pealup,30,pealup,30,outfaro,23,0
pealup,30,pealup,30,pealup,30,outfaro,24,5
pealup,30,pealup,30,pealup,30,outfaro,25,0
pealup,30,pealup,30,pealup,30,outfaro,26,0
pealup,30,pealup,30,pealup,30,outfaro,27,5
pealup,30,pealup,30,pealup,30,outfaro,28,0
pealup,30,pealup,30,pealup,30,outfaro,29,5
pealup,30,pealup,30,pealup,30,outfaro,30,10
pealup,30,pealup,30,pealup,30,outfaro,31,5
pealup,30,pealup,30,pealup,30,outfaro,32,5
pealup,30,pealup,30,pealup,30,outfaro,33,20
pealup,30,pealup,30,pealup,30,outfaro,34,15
pealup,30,pealup,30,pealup,30,outfaro,35,25
pealup,30,pealup,30,pealup,30,outfaro,36,30
pealup,30,pealup,30,pealup,30,outfaro,37,35
pealup,30,pealup,30,pealup,30,outfaro,38,35
pealup,30,pealup,30,pealup,30,outfaro,39,50
pealup,30,pealup,30,pealup,30,outfaro,40,45
pealup,30,pealup,30,pealup,30,outfaro,41,55
pealup,30,pealup,30,pealup,30,outfaro,42,55
pealup,30,pealup,30,pealup,30,outfaroup,10,215
pealup,30,pealup,30,pealup,30,outfaroup,11,210
pealup,30,pealup,30,pealup,30,outfaroup,12,210
pealup,30,pealup,30,pealup,30,outfaroup,13,215
pealup,30,pealup,30,pealup,30,outfaroup,14,210
pealup,30,pealup,30,pealup,30,outfaroup,15,210
pealup,30,pealup,30,pealup,30,outfaroup,16,205
pealup,30,pealup,30,pealup,30,outfaroup,17,180
pealup,30,pealup,30,pealup,30,outfaroup,18,160
