maintained,technique,is,SLIPCUT,and,the,number,is,30
cut,1,cut,30,cut,30,cut,30,-10
cut,2,cut,30,cut,30,cut,30,-10
cut,3,cut,30,cut,30,cut,30,-10
cut,4,cut,30,cut,30,cut,30,-10
cut,5,cut,30,cut,30,cut,30,-10
cut,6,cut,30,cut,30,cut,30,-10
cut,7,cut,30,cut,30,cut,30,-10
cut,8,cut,30,cut,30,cut,30,-10
cut,9,cut,30,cut,30,cut,30,-10
cut,10,cut,30,cut,30,cut,30,-10
cut,11,cut,30,cut,30,cut,30,-10
cut,12,cut,30,cut,30,cut,30,-10
cut,13,cut,30,cut,30,cut,30,-10
cut,14,cut,30,cut,30,cut,30,210
cut,15,cut,30,cut,30,cut,30,-10
cut,16,cut,30,cut,30,cut,30,-10
cut,17,cut,30,cut,30,cut,30,-10
cut,18,cut,30,cut,30,cut,30,250
cut,19,cut,30,cut,30,cut,30,-10
cut,20,cut,30,cut,30,cut,30,-10
cut,21,cut,30,cut,30,cut,30,-10
cut,22,cut,30,cut,30,cut,30,-10
cut,23,cut,30,cut,30,cut,30,-10
cut,24,cut,30,cut,30,cut,30,-10
cut,25,cut,30,cut,30,cut,30,-10
cut,26,cut,30,cut,30,cut,30,-10
cut,27,cut,30,cut,30,cut,30,-10
cut,28,cut,30,cut,30,cut,30,-10
cut,29,cut,30,cut,30,cut,30,-10
cut,30,cut,30,cut,30,cut,30,-10
cut,31,cut,30,cut,30,cut,30,-10
cut,32,cut,30,cut,30,cut,30,-10
cut,33,cut,30,cut,30,cut,30,-10
cut,34,cut,30,cut,30,cut,30,-10
cut,35,cut,30,cut,30,cut,30,-10
cut,36,cut,30,cut,30,cut,30,-10
cut,37,cut,30,cut,30,cut,30,-10
cut,38,cut,30,cut,30,cut,30,-10
cut,39,cut,30,cut,30,cut,30,-10
cut,40,cut,30,cut,30,cut,30,30
cut,41,cut,30,cut,30,cut,30,-10
cut,42,cut,30,cut,30,cut,30,-10
cut,43,cut,30,cut,30,cut,30,-10
cut,44,cut,30,cut,30,cut,30,-10
cut,45,cut,30,cut,30,cut,30,-10
cut,46,cut,30,cut,30,cut,30,-10
cut,47,cut,30,cut,30,cut,30,-10
cut,48,cut,30,cut,30,cut,30,-10
cut,49,cut,30,cut,30,cut,30,-10
cut,50,cut,30,cut,30,cut,30,-10
cut,51,cut,30,cut,30,cut,30,-10
slipcut,2,cut,30,cut,30,cut,30,-10
slipcut,3,cut,30,cut,30,cut,30,-10
slipcut,4,cut,30,cut,30,cut,30,-10
slipcut,5,cut,30,cut,30,cut,30,-10
slipcut,6,cut,30,cut,30,cut,30,-10
slipcut,7,cut,30,cut,30,cut,30,-10
slipcut,8,cut,30,cut,30,cut,30,-10
slipcut,9,cut,30,cut,30,cut,30,-10
slipcut,10,cut,30,cut,30,cut,30,-10
slipcut,11,cut,30,cut,30,cut,30,-10
slipcut,12,cut,30,cut,30,cut,30,-10
slipcut,13,cut,30,cut,30,cut,30,0
slipcut,14,cut,30,cut,30,cut,30,-10
slipcut,15,cut,30,cut,30,cut,30,-10
slipcut,16,cut,30,cut,30,cut,30,-10
slipcut,17,cut,30,cut,30,cut,30,-10
slipcut,18,cut,30,cut,30,cut,30,-10
slipcut,19,cut,30,cut,30,cut,30,-10
slipcut,20,cut,30,cut,30,cut,30,-10
slipcut,21,cut,30,cut,30,cut,30,-10
slipcut,22,cut,30,cut,30,cut,30,-10
slipcut,23,cut,30,cut,30,cut,30,-10
slipcut,24,cut,30,cut,30,cut,30,-10
slipcut,25,cut,30,cut,30,cut,30,-10
slipcut,26,cut,30,cut,30,cut,30,-10
slipcut,27,cut,30,cut,30,cut,30,-10
slipcut,28,cut,30,cut,30,cut,30,-10
slipcut,29,cut,30,cut,30,cut,30,-10
slipcut,30,cut,30,cut,30,cut,30,-10
slipcut,31,cut,30,cut,30,cut,30,-10
slipcut,32,cut,30,cut,30,cut,30,-10
slipcut,33,cut,30,cut,30,cut,30,-10
slipcut,34,cut,30,cut,30,cut,30,-10
slipcut,35,cut,30,cut,30,cut,30,-10
slipcut,36,cut,30,cut,30,cut,30,-10
slipcut,37,cut,30,cut,30,cut,30,-10
slipcut,38,cut,30,cut,30,cut,30,-10
slipcut,39,cut,30,cut,30,cut,30,-10
slipcut,40,cut,30,cut,30,cut,30,-10
slipcut,41,cut,30,cut,30,cut,30,-10
slipcut,42,cut,30,cut,30,cut,30,-10
slipcut,43,cut,30,cut,30,cut,30,-10
slipcut,44,cut,30,cut,30,cut,30,-10
slipcut,45,cut,30,cut,30,cut,30,-10
slipcut,46,cut,30,cut,30,cut,30,-10
slipcut,47,cut,30,cut,30,cut,30,-10
slipcut,48,cut,30,cut,30,cut,30,-10
slipcut,49,cut,30,cut,30,cut,30,-10
slipcut,50,cut,30,cut,30,cut,30,-10
slipcut,51,cut,30,cut,30,cut,30,-10
slipcut,2,cut,30,cut,30,cut,30,-10
slipcut,3,cut,30,cut,30,cut,30,-10
slipcut,4,cut,30,cut,30,cut,30,-10
slipcut,5,cut,30,cut,30,cut,30,-10
slipcut,6,cut,30,cut,30,cut,30,-10
slipcut,7,cut,30,cut,30,cut,30,-10
slipcut,8,cut,30,cut,30,cut,30,-10
slipcut,9,cut,30,cut,30,cut,30,-10
slipcut,10,cut,30,cut,30,cut,30,-10
slipcut,11,cut,30,cut,30,cut,30,-10
slipcut,12,cut,30,cut,30,cut,30,-10
slipcut,13,cut,30,cut,30,cut,30,-10
slipcut,14,cut,30,cut,30,cut,30,-10
slipcut,15,cut,30,cut,30,cut,30,0
slipcut,16,cut,30,cut,30,cut,30,-10
slipcut,17,cut,30,cut,30,cut,30,-10
slipcut,18,cut,30,cut,30,cut,30,-10
slipcut,19,cut,30,cut,30,cut,30,-10
slipcut,20,cut,30,cut,30,cut,30,-10
slipcut,21,cut,30,cut,30,cut,30,-10
slipcut,22,cut,30,cut,30,cut,30,-10
slipcut,23,cut,30,cut,30,cut,30,-10
slipcut,24,cut,30,cut,30,cut,30,-10
slipcut,25,cut,30,cut,30,cut,30,-10
slipcut,26,cut,30,cut,30,cut,30,-10
slipcut,27,cut,30,cut,30,cut,30,-10
slipcut,28,cut,30,cut,30,cut,30,-10
slipcut,29,cut,30,cut,30,cut,30,-10
slipcut,30,cut,30,cut,30,cut,30,-10
slipcut,31,cut,30,cut,30,cut,30,-10
slipcut,32,cut,30,cut,30,cut,30,-10
slipcut,33,cut,30,cut,30,cut,30,-10
slipcut,34,cut,30,cut,30,cut,30,-10
slipcut,35,cut,30,cut,30,cut,30,-10
slipcut,36,cut,30,cut,30,cut,30,-10
slipcut,37,cut,30,cut,30,cut,30,-10
slipcut,38,cut,30,cut,30,cut,30,-10
slipcut,39,cut,30,cut,30,cut,30,-10
slipcut,40,cut,30,cut,30,cut,30,-10
slipcut,41,cut,30,cut,30,cut,30,-10
slipcut,42,cut,30,cut,30,cut,30,-10
slipcut,43,cut,30,cut,30,cut,30,-10
slipcut,44,cut,30,cut,30,cut,30,-10
slipcut,45,cut,30,cut,30,cut,30,-10
slipcut,46,cut,30,cut,30,cut,30,-10
slipcut,47,cut,30,cut,30,cut,30,-10
slipcut,48,cut,30,cut,30,cut,30,-10
slipcut,49,cut,30,cut,30,cut,30,-10
slipcut,50,cut,30,cut,30,cut,30,-10
slipcut,51,cut,30,cut,30,cut,30,-10
peal,2,cut,30,cut,30,cut,30,-10
peal,3,cut,30,cut,30,cut,30,-10
peal,4,cut,30,cut,30,cut,30,-10
peal,5,cut,30,cut,30,cut,30,-10
peal,6,cut,30,cut,30,cut,30,-10
peal,7,cut,30,cut,30,cut,30,-10
peal,8,cut,30,cut,30,cut,30,-10
peal,9,cut,30,cut,30,cut,30,-10
peal,10,cut,30,cut,30,cut,30,-10
peal,11,cut,30,cut,30,cut,30,-10
peal,12,cut,30,cut,30,cut,30,-10
peal,13,cut,30,cut,30,cut,30,0
peal,14,cut,30,cut,30,cut,30,-10
peal,15,cut,30,cut,30,cut,30,0
peal,16,cut,30,cut,30,cut,30,-10
peal,17,cut,30,cut,30,cut,30,0
peal,18,cut,30,cut,30,cut,30,-10
peal,19,cut,30,cut,30,cut,30,10
peal,20,cut,30,cut,30,cut,30,-10
peal,21,cut,30,cut,30,cut,30,0
peal,22,cut,30,cut,30,cut,30,-10
peal,23,cut,30,cut,30,cut,30,0
peal,24,cut,30,cut,30,cut,30,-10
peal,25,cut,30,cut,30,cut,30,0
peal,26,cut,30,cut,30,cut,30,-10
peal,27,cut,30,cut,30,cut,30,0
peal,28,cut,30,cut,30,cut,30,-10
peal,29,cut,30,cut,30,cut,30,0
peal,30,cut,30,cut,30,cut,30,-10
peal,31,cut,30,cut,30,cut,30,0
peal,32,cut,30,cut,30,cut,30,-10
peal,33,cut,30,cut,30,cut,30,0
peal,34,cut,30,cut,30,cut,30,-10
peal,35,cut,30,cut,30,cut,30,0
peal,36,cut,30,cut,30,cut,30,-10
peal,37,cut,30,cut,30,cut,30,0
peal,38,cut,30,cut,30,cut,30,-10
peal,39,cut,30,cut,30,cut,30,0
peal,40,cut,30,cut,30,cut,30,-10
peal,41,cut,30,cut,30,cut,30,0
peal,42,cut,30,cut,30,cut,30,-10
peal,43,cut,30,cut,30,cut,30,0
peal,44,cut,30,cut,30,cut,30,-10
peal,45,cut,30,cut,30,cut,30,0
peal,46,cut,30,cut,30,cut,30,-10
peal,47,cut,30,cut,30,cut,30,10
peal,48,cut,30,cut,30,cut,30,-10
peal,49,cut,30,cut,30,cut,30,10
peal,50,cut,30,cut,30,cut,30,-10
peal,51,cut,30,cut,30,cut,30,10
pealup,2,cut,30,cut,30,cut,30,-10
pealup,3,cut,30,cut,30,cut,30,-10
pealup,4,cut,30,cut,30,cut,30,-10
pealup,5,cut,30,cut,30,cut,30,-10
pealup,6,cut,30,cut,30,cut,30,-10
pealup,7,cut,30,cut,30,cut,30,-10
pealup,8,cut,30,cut,30,cut,30,-10
pealup,9,cut,30,cut,30,cut,30,-10
pealup,10,cut,30,cut,30,cut,30,-10
pealup,11,cut,30,cut,30,cut,30,-10
pealup,12,cut,30,cut,30,cut,30,-10
pealup,13,cut,30,cut,30,cut,30,-10
pealup,14,cut,30,cut,30,cut,30,-10
pealup,15,cut,30,cut,30,cut,30,0
pealup,16,cut,30,cut,30,cut,30,-10
pealup,17,cut,30,cut,30,cut,30,0
