maintained,technique,is,CUT,and,the,number,is,30
cut,30,cut,30,cut,30,slipcut,37,480
cut,30,cut,30,cut,30,slipcut,38,480
cut,30,cut,30,cut,30,slipcut,39,480
cut,30,cut,30,cut,30,slipcut,40,480
cut,30,cut,30,cut,30,slipcut,41,480
cut,30,cut,30,cut,30,slipcut,42,480
cut,30,cut,30,cut,30,slipcut,43,480
cut,30,cut,30,cut,30,slipcut,44,480
cut,30,cut,30,cut,30,slipcut,45,480
cut,30,cut,30,cut,30,slipcut,46,480
cut,30,cut,30,cut,30,slipcut,47,480
cut,30,cut,30,cut,30,slipcut,48,480
cut,30,cut,30,cut,30,slipcut,49,480
cut,30,cut,30,cut,30,slipcut,50,480
cut,30,cut,30,cut,30,slipcut,51,480
cut,30,cut,30,cut,30,peal,2,480
cut,30,cut,30,cut,30,peal,3,470
cut,30,cut,30,cut,30,peal,4,460
cut,30,cut,30,cut,30,peal,5,450
cut,30,cut,30,cut,30,peal,6,440
cut,30,cut,30,cut,30,peal,7,430
cut,30,cut,30,cut,30,peal,8,420
cut,30,cut,30,cut,30,peal,9,410
cut,30,cut,30,cut,30,peal,10,400
cut,30,cut,30,cut,30,peal,11,390
cut,30,cut,30,cut,30,peal,12,380
cut,30,cut,30,cut,30,peal,13,370
cut,30,cut,30,cut,30,peal,14,360
cut,30,cut,30,cut,30,peal,15,350
cut,30,cut,30,cut,30,peal,16,340
cut,30,cut,30,cut,30,peal,17,330
cut,30,cut,30,cut,30,peal,18,320
cut,30,cut,30,cut,30,peal,19,310
cut,30,cut,30,cut,30,peal,20,300
cut,30,cut,30,cut,30,peal,21,290
cut,30,cut,30,cut,30,peal,22,280
cut,30,cut,30,cut,30,peal,23,270
cut,30,cut,30,cut,30,peal,24,260
cut,30,cut,30,cut,30,peal,25,250
cut,30,cut,30,cut,30,peal,26,240
cut,30,cut,30,cut,30,peal,27,230
cut,30,cut,30,cut,30,peal,28,220
cut,30,cut,30,cut,30,peal,29,210
cut,30,cut,30,cut,30,peal,30,210
cut,30,cut,30,cut,30,peal,31,200
cut,30,cut,30,cut,30,peal,32,190
cut,30,cut,30,cut,30,peal,33,180
cut,30,cut,30,cut,30,peal,34,170
cut,30,cut,30,cut,30,peal,35,160
cut,30,cut,30,cut,30,peal,36,150
cut,30,cut,30,cut,30,peal,37,140
cut,30,cut,30,cut,30,peal,38,130
cut,30,cut,30,cut,30,peal,39,120
cut,30,cut,30,cut,30,peal,40,110
cut,30,cut,30,cut,30,peal,41,100
cut,30,cut,30,cut,30,peal,42,90
cut,30,cut,30,cut,30,peal,43,80
cut,30,cut,30,cut,30,peal,44,70
cut,30,cut,30,cut,30,peal,45,60
cut,30,cut,30,cut,30,peal,46,50
cut,30,cut,30,cut,30,peal,47,40
cut,30,cut,30,cut,30,peal,48,30
cut,30,cut,30,cut,30,peal,49,20
cut,30,cut,30,cut,30,peal,50,10
cut,30,cut,30,cut,30,peal,51,0
cut,30,cut,30,cut,30,pealup,2,480
cut,30,cut,30,cut,30,pealup,3,470
cut,30,cut,30,cut,30,pealup,4,460
cut,30,cut,30,cut,30,pealup,5,450
cut,30,cut,30,cut,30,pealup,6,440
cut,30,cut,30,cut,30,pealup,7,430
cut,30,cut,30,cut,30,pealup,8,420
cut,30,cut,30,cut,30,pealup,9,410
cut,30,cut,30,cut,30,pealup,10,400
cut,30,cut,30,cut,30,pealup,11,390
cut,30,cut,30,cut,30,pealup,12,380
cut,30,cut,30,cut,30,pealup,13,370
cut,30,cut,30,cut,30,pealup,14,360
cut,30,cut,30,cut,30,pealup,15,350
cut,30,cut,30,cut,30,pealup,16,340
cut,30,cut,30,cut,30,pealup,17,330
cut,30,cut,30,cut,30,pealup,18,320
cut,30,cut,30,cut,30,pealup,19,310
cut,30,cut,30,cut,30,pealup,20,300
cut,30,cut,30,cut,30,pealup,21,290
cut,30,cut,30,cut,30,pealup,22,290
cut,30,cut,30,cut,30,pealup,23,280
cut,30,cut,30,cut,30,pealup,24,270
cut,30,cut,30,cut,30,pealup,25,260
cut,30,cut,30,cut,30,pealup,26,250
cut,30,cut,30,cut,30,pealup,27,240
cut,30,cut,30,cut,30,pealup,28,230
cut,30,cut,30,cut,30,pealup,29,220
cut,30,cut,30,cut,30,pealup,30,210
cut,30,cut,30,cut,30,pealup,31,200
cut,30,cut,30,cut,30,pealup,32,190
cut,30,cut,30,cut,30,pealup,33,180
cut,30,cut,30,cut,30,pealup,34,170
cut,30,cut,30,cut,30,pealup,35,160
cut,30,cut,30,cut,30,pealup,36,150
cut,30,cut,30,cut,30,pealup,37,140
cut,30,cut,30,cut,30,pealup,38,130
cut,30,cut,30,cut,30,pealup,39,120
cut,30,cut,30,cut,30,pealup,40,110
cut,30,cut,30,cut,30,pealup,41,100
cut,30,cut,30,cut,30,pealup,42,90
cut,30,cut,30,cut,30,pealup,43,80
cut,30,cut,30,cut,30,pealup,44,70
cut,30,cut,30,cut,30,pealup,45,60
cut,30,cut,30,cut,30,pealup,46,50
cut,30,cut,30,cut,30,pealup,47,40
cut,30,cut,30,cut,30,pealup,48,30
cut,30,cut,30,cut,30,pealup,49,20
cut,30,cut,30,cut,30,pealup,50,10
cut,30,cut,30,cut,30,pealup,51,0
cut,30,cut,30,cut,30,infaro,10,300
cut,30,cut,30,cut,30,infaro,11,280
cut,30,cut,30,cut,30,infaro,12,260
cut,30,cut,30,cut,30,infaro,13,240
cut,30,cut,30,cut,30,infaro,14,220
cut,30,cut,30,cut,30,infaro,15,210
cut,30,cut,30,cut,30,infaro,16,190
cut,30,cut,30,cut,30,infaro,17,170
cut,30,cut,30,cut,30,infaro,18,150
cut,30,cut,30,cut,30,infaro,19,130
cut,30,cut,30,cut,30,infaro,20,110
cut,30,cut,30,cut,30,infaro,21,90
cut,30,cut,30,cut,30,infaro,22,70
cut,30,cut,30,cut,30,infaro,23,50
cut,30,cut,30,cut,30,infaro,24,30
cut,30,cut,30,cut,30,infaro,25,10
