maintained,technique,is,PEAL,and,the,number,is,30
peal,30,peal,30,peal,30,slipcut,37,95
peal,30,peal,30,peal,30,slipcut,38,100
peal,30,peal,30,peal,30,slipcut,39,100
peal,30,peal,30,peal,30,slipcut,40,100
peal,30,peal,30,peal,30,slipcut,41,100
peal,30,peal,30,peal,30,slipcut,42,100
peal,30,peal,30,peal,30,slipcut,43,100
peal,30,peal,30,peal,30,slipcut,44,100
peal,30,peal,30,peal,30,slipcut,45,100
peal,30,peal,30,peal,30,slipcut,46,100
peal,30,peal,30,peal,30,slipcut,47,100
peal,30,peal,30,peal,30,slipcut,48,100
peal,30,peal,30,peal,30,slipcut,49,100
peal,30,peal,30,peal,30,slipcut,50,100
peal,30,peal,30,peal,30,slipcut,51,100
peal,30,peal,30,peal,30,peal,2,215
peal,30,peal,30,peal,30,peal,3,220
peal,30,peal,30,peal,30,peal,4,225
peal,30,peal,30,peal,30,peal,5,230
peal,30,peal,30,peal,30,peal,6,235
peal,30,peal,30,peal,30,peal,7,240
peal,30,peal,30,peal,30,peal,8,245
peal,30,peal,30,peal,30,peal,9,250
peal,30,peal,30,peal,30,peal,10,255
peal,30,peal,30,peal,30,peal,11,260
peal,30,peal,30,peal,30,peal,12,265
peal,30,peal,30,peal,30,peal,13,270
peal,30,peal,30,peal,30,peal,14,275
peal,30,peal,30,peal,30,peal,15,280
peal,30,peal,30,peal,30,peal,16,285
peal,30,peal,30,peal,30,peal,17,290
peal,30,peal,30,peal,30,peal,18,295
peal,30,peal,30,peal,30,peal,19,300
peal,30,peal,30,peal,30,peal,20,305
peal,30,peal,30,peal,30,peal,21,310
peal,30,peal,30,peal,30,peal,22,315
peal,30,peal,30,peal,30,peal,23,320
peal,30,peal,30,peal,30,peal,24,325
peal,30,peal,30,peal,30,peal,25,330
peal,30,peal,30,peal,30,peal,26,335
peal,30,peal,30,peal,30,peal,27,340
peal,30,peal,30,peal,30,peal,28,345
peal,30,peal,30,peal,30,peal,29,350
peal,30,peal,30,peal,30,peal,30,510
peal,30,peal,30,peal,30,peal,31,345
peal,30,peal,30,peal,30,peal,32,335
peal,30,peal,30,peal,30,peal,33,325
peal,30,peal,30,peal,30,peal,34,315
peal,30,peal,30,peal,30,peal,35,305
peal,30,peal,30,peal,30,peal,36,295
peal,30,peal,30,peal,30,peal,37,285
peal,30,peal,30,peal,30,peal,38,275
peal,30,peal,30,peal,30,peal,39,265
peal,30,peal,30,peal,30,peal,40,255
peal,30,peal,30,peal,30,peal,41,245
peal,30,peal,30,peal,30,peal,42,235
peal,30,peal,30,peal,30,peal,43,225
peal,30,peal,30,peal,30,peal,44,215
peal,30,peal,30,peal,30,peal,45,205
peal,30,peal,30,peal,30,peal,46,195
peal,30,peal,30,peal,30,peal,47,185
peal,30,peal,30,peal,30,peal,48,175
peal,30,peal,30,peal,30,peal,49,165
peal,30,peal,30,peal,30,peal,50,155
peal,30,peal,30,peal,30,peal,51,145
peal,30,peal,30,peal,30,pealup,2,190
peal,30,peal,30,peal,30,pealup,3,185
peal,30,peal,30,peal,30,pealup,4,170
peal,30,peal,30,peal,30,pealup,5,165
peal,30,peal,30,peal,30,pealup,6,150
peal,30,peal,30,peal,30,pealup,7,145
peal,30,peal,30,peal,30,pealup,8,130
peal,30,peal,30,peal,30,pealup,9,125
peal,30,peal,30,peal,30,pealup,10,110
peal,30,peal,30,peal,30,pealup,11,105
peal,30,peal,30,peal,30,pealup,12,90
peal,30,peal,30,peal,30,pealup,13,85
peal,30,peal,30,peal,30,pealup,14,70
peal,30,peal,30,peal,30,pealup,15,65
peal,30,peal,30,peal,30,pealup,16,50
peal,30,peal,30,peal,30,pealup,17,45
peal,30,peal,30,peal,30,pealup,18,30
peal,30,peal,30,peal,30,pealup,19,25
peal,30,peal,30,peal,30,pealup,20,10
peal,30,peal,30,peal,30,pealup,21,5
peal,30,peal,30,peal,30,pealup,22,-5
peal,30,peal,30,peal,30,pealup,23,0
peal,30,peal,30,peal,30,pealup,24,0
peal,30,peal,30,peal,30,pealup,25,10
peal,30,peal,30,peal,30,pealup,26,10
peal,30,peal,30,peal,30,pealup,27,20
peal,30,peal,30,peal,30,pealup,28,20
peal,30,peal,30,peal,30,pealup,29,30
peal,30,peal,30,peal,30,pealup,30,30
peal,30,peal,30,peal,30,pealup,31,40
peal,30,peal,30,peal,30,pealup,32,40
peal,30,peal,30,peal,30,pealup,33,50
peal,30,peal,30,peal,30,pealup,34,50
peal,30,peal,30,peal,30,pealup,35,60
peal,30,peal,30,peal,30,pealup,36,60
peal,30,peal,30,peal,30,pealup,37,70
peal,30,peal,30,peal,30,pealup,38,70
peal,30,peal,30,peal,30,pealup,39,80
peal,30,peal,30,peal,30,pealup,40,80
peal,30,peal,30,peal,30,pealup,41,90
peal,30,peal,30,peal,30,pealup,42,90
peal,30,peal,30,peal,30,pealup,43,100
peal,30,peal,30,peal,30,pealup,44,100
peal,30,peal,30,peal,30,pealup,45,105
peal,30,peal,30,peal,30,pealup,46,110
peal,30,peal,30,peal,30,pealup,47,115
peal,30,peal,30,peal,30,pealup,48,120
peal,30,peal,30,peal,30,pealup,49,125
peal,30,peal,30,peal,30,pealup,50,130
peal,30,peal,30,peal,30,pealup,51,135
peal,30,peal,30,peal,30,infaro,10,210
peal,30,peal,30,peal,30,infaro,11,215
peal,30,peal,30,peal,30,infaro,12,210
peal,30,peal,30,peal,30,infaro,13,210
peal,30,peal,30,peal,30,infaro,14,215
peal,30,peal,30,peal,30,infaro,15,210
peal,30,peal,30,peal,30,infaro,16,190
peal,30,peal,30,peal,30,infaro,17,175
peal,30,peal,30,peal,30,infaro,18,150
peal,30,peal,30,peal,30,infaro,19,130
peal,30,peal,30,peal,30,infaro,20,115
peal,30,peal,30,peal,30,infaro,21,90
peal,30,peal,30,peal,30,infaro,22,70
peal,30,peal,30,peal,30,infaro,23,55
peal,30,peal,30,peal,30,infaro,24,30
peal,30,peal,30,peal,30,infaro,25,10
peal,30,peal,30,peal,30,infaro,26,0
peal,30,peal,30,peal,30,infaro,27,-5
peal,30,peal,30,peal,30,infaro,28,-5
peal,30,peal,30,peal,30,infaro,29,5
peal,30,peal,30,peal,30,infaro,30,-5
peal,30,peal,30,peal,30,infaro,31,-5
peal,30,peal,30,peal,30,infaro,32,0
peal,30,peal,30,peal,30,infaro,33,5
peal,30,peal,30,peal,30,infaro,34,10
peal,30,peal,30,peal,30,infaro,35,15
peal,30,peal,30,peal,30,infaro,36,20
peal,30,peal,30,peal,30,infaro,37,25
peal,30,peal,30,peal,30,infaro,38,30
