maintained,technique,is,OUTFARO,and,the,number,is,40
outfaro,40,outfaro,40,outfaro,40,peal,41,0
outfaro,40,outfaro,40,outfaro,40,peal,42,0
outfaro,40,outfaro,40,outfaro,40,peal,43,0
outfaro,40,outfaro,40,outfaro,40,peal,44,-10
outfaro,40,outfaro,40,outfaro,40,peal,45,10
outfaro,40,outfaro,40,outfaro,40,peal,46,-10
outfaro,40,outfaro,40,outfaro,40,peal,47,0
outfaro,40,outfaro,40,outfaro,40,peal,48,0
outfaro,40,outfaro,40,outfaro,40,peal,49,0
outfaro,40,outfaro,40,outfaro,40,peal,50,-10
outfaro,40,outfaro,40,outfaro,40,peal,51,10
outfaro,40,outfaro,40,outfaro,40,pealup,2,0
outfaro,40,outfaro,40,outfaro,40,pealup,3,0
outfaro,40,outfaro,40,outfaro,40,pealup,4,0
outfaro,40,outfaro,40,outfaro,40,pealup,5,0
outfaro,40,outfaro,40,outfaro,40,pealup,6,0
outfaro,40,outfaro,40,outfaro,40,pealup,7,0
outfaro,40,outfaro,40,outfaro,40,pealup,8,0
outfaro,40,outfaro,40,outfaro,40,pealup,9,0
outfaro,40,outfaro,40,outfaro,40,pealup,10,0
outfaro,40,outfaro,40,outfaro,40,pealup,11,0
outfaro,40,outfaro,40,outfaro,40,pealup,12,0
outfaro,40,outfaro,40,outfaro,40,pealup,13,10
outfaro,40,outfaro,40,outfaro,40,pealup,14,0
outfaro,40,outfaro,40,outfaro,40,pealup,15,10
outfaro,40,outfaro,40,outfaro,40,pealup,16,0
outfaro,40,outfaro,40,outfaro,40,pealup,17,10
outfaro,40,outfaro,40,outfaro,40,pealup,18,0
outfaro,40,outfaro,40,outfaro,40,pealup,19,10
outfaro,40,outfaro,40,outfaro,40,pealup,20,0
outfaro,40,outfaro,40,outfaro,40,pealup,21,10
outfaro,40,outfaro,40,outfaro,40,pealup,22,0
outfaro,40,outfaro,40,outfaro,40,pealup,23,10
outfaro,40,outfaro,40,outfaro,40,pealup,24,0
outfaro,40,outfaro,40,outfaro,40,pealup,25,10
outfaro,40,outfaro,40,outfaro,40,pealup,26,0
outfaro,40,outfaro,40,outfaro,40,pealup,27,10
outfaro,40,outfaro,40,outfaro,40,pealup,28,0
outfaro,40,outfaro,40,outfaro,40,pealup,29,20
outfaro,40,outfaro,40,outfaro,40,pealup,30,0
outfaro,40,outfaro,40,outfaro,40,pealup,31,10
outfaro,40,outfaro,40,outfaro,40,pealup,32,10
outfaro,40,outfaro,40,outfaro,40,pealup,33,10
outfaro,40,outfaro,40,outfaro,40,pealup,34,0
outfaro,40,outfaro,40,outfaro,40,pealup,35,20
outfaro,40,outfaro,40,outfaro,40,pealup,36,0
outfaro,40,outfaro,40,outfaro,40,pealup,37,10
outfaro,40,outfaro,40,outfaro,40,pealup,38,10
outfaro,40,outfaro,40,outfaro,40,pealup,39,10
outfaro,40,outfaro,40,outfaro,40,pealup,40,0
outfaro,40,outfaro,40,outfaro,40,pealup,41,20
outfaro,40,outfaro,40,outfaro,40,pealup,42,0
outfaro,40,outfaro,40,outfaro,40,pealup,43,10
outfaro,40,outfaro,40,outfaro,40,pealup,44,10
outfaro,40,outfaro,40,outfaro,40,pealup,45,10
outfaro,40,outfaro,40,outfaro,40,pealup,46,0
outfaro,40,outfaro,40,outfaro,40,pealup,47,20
outfaro,40,outfaro,40,outfaro,40,pealup,48,0
outfaro,40,outfaro,40,outfaro,40,pealup,49,10
outfaro,40,outfaro,40,outfaro,40,pealup,50,10
outfaro,40,outfaro,40,outfaro,40,pealup,51,10
outfaro,40,outfaro,40,outfaro,40,infaro,10,-10
outfaro,40,outfaro,40,outfaro,40,infaro,11,-10
outfaro,40,outfaro,40,outfaro,40,infaro,12,-10
outfaro,40,outfaro,40,outfaro,40,infaro,13,-10
outfaro,40,outfaro,40,outfaro,40,infaro,14,-10
