maintained,technique,is,INFARO,and,the,number,is,30
infaro,30,infaro,30,infaro,30,slipcut,22,35
infaro,30,infaro,30,infaro,30,slipcut,23,30
infaro,30,infaro,30,infaro,30,slipcut,24,30
infaro,30,infaro,30,infaro,30,slipcut,25,30
infaro,30,infaro,30,infaro,30,slipcut,26,30
infaro,30,infaro,30,infaro,30,slipcut,27,30
infaro,30,infaro,30,infaro,30,slipcut,28,30
infaro,30,infaro,30,infaro,30,slipcut,29,30
infaro,30,infaro,30,infaro,30,slipcut,30,30
infaro,30,infaro,30,infaro,30,slipcut,31,45
infaro,30,infaro,30,infaro,30,slipcut,32,35
infaro,30,infaro,30,infaro,30,slipcut,33,35
infaro,30,infaro,30,infaro,30,slipcut,34,35
infaro,30,infaro,30,infaro,30,slipcut,35,35
infaro,30,infaro,30,infaro,30,slipcut,36,35
infaro,30,infaro,30,infaro,30,slipcut,37,35
infaro,30,infaro,30,infaro,30,slipcut,38,35
infaro,30,infaro,30,infaro,30,slipcut,39,35
infaro,30,infaro,30,infaro,30,slipcut,40,35
infaro,30,infaro,30,infaro,30,slipcut,41,35
infaro,30,infaro,30,infaro,30,slipcut,42,35
infaro,30,infaro,30,infaro,30,slipcut,43,35
infaro,30,infaro,30,infaro,30,slipcut,44,35
infaro,30,infaro,30,infaro,30,slipcut,45,35
infaro,30,infaro,30,infaro,30,slipcut,46,35
infaro,30,infaro,30,infaro,30,slipcut,47,35
infaro,30,infaro,30,infaro,30,slipcut,48,35
infaro,30,infaro,30,infaro,30,slipcut,49,35
infaro,30,infaro,30,infaro,30,slipcut,50,35
infaro,30,infaro,30,infaro,30,slipcut,51,35
infaro,30,infaro,30,infaro,30,peal,2,40
infaro,30,infaro,30,infaro,30,peal,3,35
infaro,30,infaro,30,infaro,30,peal,4,35
infaro,30,infaro,30,infaro,30,peal,5,40
infaro,30,infaro,30,infaro,30,peal,6,35
infaro,30,infaro,30,infaro,30,peal,7,35
infaro,30,infaro,30,infaro,30,peal,8,40
infaro,30,infaro,30,infaro,30,peal,9,35
infaro,30,infaro,30,infaro,30,peal,10,35
infaro,30,infaro,30,infaro,30,peal,11,40
infaro,30,infaro,30,infaro,30,peal,12,35
infaro,30,infaro,30,infaro,30,peal,13,35
infaro,30,infaro,30,infaro,30,peal,14,40
infaro,30,infaro,30,infaro,30,peal,15,35
infaro,30,infaro,30,infaro,30,peal,16,35
infaro,30,infaro,30,infaro,30,peal,17,40
infaro,30,infaro,30,infaro,30,peal,18,35
infaro,30,infaro,30,infaro,30,peal,19,35
infaro,30,infaro,30,infaro,30,peal,20,40
infaro,30,infaro,30,infaro,30,peal,21,35
infaro,30,infaro,30,infaro,30,peal,22,30
infaro,30,infaro,30,infaro,30,peal,23,30
infaro,30,infaro,30,infaro,30,peal,24,20
infaro,30,infaro,30,infaro,30,peal,25,15
infaro,30,infaro,30,infaro,30,peal,26,15
infaro,30,infaro,30,infaro,30,peal,27,5
infaro,30,infaro,30,infaro,30,peal,28,0
infaro,30,infaro,30,infaro,30,peal,29,0
infaro,30,infaro,30,infaro,30,peal,30,-5
infaro,30,infaro,30,infaro,30,peal,31,5
infaro,30,infaro,30,infaro,30,peal,32,0
infaro,30,infaro,30,infaro,30,peal,33,-5
infaro,30,infaro,30,infaro,30,peal,34,0
infaro,30,infaro,30,infaro,30,peal,35,0
infaro,30,infaro,30,infaro,30,peal,36,-5
infaro,30,infaro,30,infaro,30,peal,37,0
infaro,30,infaro,30,infaro,30,peal,38,0
infaro,30,infaro,30,infaro,30,peal,39,-5
infaro,30,infaro,30,infaro,30,peal,40,0
infaro,30,infaro,30,infaro,30,peal,41,0
infaro,30,infaro,30,infaro,30,peal,42,-5
infaro,30,infaro,30,infaro,30,peal,43,0
infaro,30,infaro,30,infaro,30,peal,44,0
infaro,30,infaro,30,infaro,30,peal,45,-5
infaro,30,infaro,30,infaro,30,peal,46,0
infaro,30,infaro,30,infaro,30,peal,47,0
infaro,30,infaro,30,infaro,30,peal,48,-5
infaro,30,infaro,30,infaro,30,peal,49,0
infaro,30,infaro,30,infaro,30,peal,50,0
infaro,30,infaro,30,infaro,30,peal,51,-5
infaro,30,infaro,30,infaro,30,pealup,2,35
infaro,30,infaro,30,infaro,30,pealup,3,35
infaro,30,infaro,30,infaro,30,pealup,4,35
infaro,30,infaro,30,infaro,30,pealup,5,35
infaro,30,infaro,30,infaro,30,pealup,6,35
infaro,30,infaro,30,infaro,30,pealup,7,35
infaro,30,infaro,30,infaro,30,pealup,8,35
infaro,30,infaro,30,infaro,30,pealup,9,35
infaro,30,infaro,30,infaro,30,pealup,10,40
infaro,30,infaro,30,infaro,30,pealup,11,35
infaro,30,infaro,30,infaro,30,pealup,12,35
infaro,30,infaro,30,infaro,30,pealup,13,40
infaro,30,infaro,30,infaro,30,pealup,14,35
infaro,30,infaro,30,infaro,30,pealup,15,35
infaro,30,infaro,30,infaro,30,pealup,16,40
infaro,30,infaro,30,infaro,30,pealup,17,35
infaro,30,infaro,30,infaro,30,pealup,18,35
infaro,30,infaro,30,infaro,30,pealup,19,40
infaro,30,infaro,30,infaro,30,pealup,20,35
infaro,30,infaro,30,infaro,30,pealup,21,35
infaro,30,infaro,30,infaro,30,pealup,22,40
infaro,30,infaro,30,infaro,30,pealup,23,35
infaro,30,infaro,30,infaro,30,pealup,24,25
infaro,30,infaro,30,infaro,30,pealup,25,30
infaro,30,infaro,30,infaro,30,pealup,26,15
infaro,30,infaro,30,infaro,30,pealup,27,15
infaro,30,infaro,30,infaro,30,pealup,28,10
infaro,30,infaro,30,infaro,30,pealup,29,5
infaro,30,infaro,30,infaro,30,pealup,30,-5
infaro,30,infaro,30,infaro,30,pealup,31,10
infaro,30,infaro,30,infaro,30,pealup,32,-5
infaro,30,infaro,30,infaro,30,pealup,33,0
infaro,30,infaro,30,infaro,30,pealup,34,0
infaro,30,infaro,30,infaro,30,pealup,35,0
infaro,30,infaro,30,infaro,30,pealup,36,-5
infaro,30,infaro,30,infaro,30,pealup,37,5
infaro,30,infaro,30,infaro,30,pealup,38,-5
infaro,30,infaro,30,infaro,30,pealup,39,0
infaro,30,infaro,30,infaro,30,pealup,40,0
infaro,30,infaro,30,infaro,30,pealup,41,-5
infaro,30,infaro,30,infaro,30,pealup,42,0
infaro,30,infaro,30,infaro,30,pealup,43,0
infaro,30,infaro,30,infaro,30,pealup,44,-5
infaro,30,infaro,30,infaro,30,pealup,45,0
infaro,30,infaro,30,infaro,30,pealup,46,0
infaro,30,infaro,30,infaro,30,pealup,47,-5
infaro,30,infaro,30,infaro,30,pealup,48,0
infaro,30,infaro,30,infaro,30,pealup,49,0
infaro,30,infaro,30,infaro,30,pealup,50,-5
infaro,30,infaro,30,infaro,30,pealup,51,0
infaro,30,infaro,30,infaro,30,infaro,10,85
infaro,30,infaro,30,infaro,30,infaro,11,85
infaro,30,infaro,30,infaro,30,infaro,12,80
infaro,30,infaro,30,infaro,30,infaro,13,75
infaro,30,infaro,30,infaro,30,infaro,14,70
infaro,30,infaro,30,infaro,30,infaro,15,70
infaro,30,infaro,30,infaro,30,infaro,16,75
infaro,30,infaro,30,infaro,30,infaro,17,80
infaro,30,infaro,30,infaro,30,infaro,18,85
infaro,30,infaro,30,infaro,30,infaro,19,90
infaro,30,infaro,30,infaro,30,infaro,20,95
infaro,30,infaro,30,infaro,30,infaro,21,100
infaro,30,infaro,30,infaro,30,infaro,22,105
infaro,30,infaro,30,infaro,30,infaro,23,105
infaro,30,infaro,30,infaro,30,infaro,24,105
infaro,30,infaro,30,infaro,30,infaro,25,105
infaro,30,infaro,30,infaro,30,infaro,26,105
infaro,30,infaro,30,infaro,30,infaro,27,115
infaro,30,infaro,30,infaro,30,infaro,28,125
infaro,30,infaro,30,infaro,30,infaro,29,135
infaro,30,infaro,30,infaro,30,infaro,30,510
infaro,30,infaro,30,infaro,30,infaro,31,140
infaro,30,infaro,30,infaro,30,infaro,32,135
infaro,30,infaro,30,infaro,30,infaro,33,130
infaro,30,infaro,30,infaro,30,infaro,34,125
infaro,30,infaro,30,infaro,30,infaro,35,120
infaro,30,infaro,30,infaro,30,infaro,36,115
infaro,30,infaro,30,infaro,30,infaro,37,110
infaro,30,infaro,30,infaro,30,infaro,38,105
infaro,30,infaro,30,infaro,30,infaro,39,100
infaro,30,infaro,30,infaro,30,infaro,40,95
infaro,30,infaro,30,infaro,30,infaro,41,90
infaro,30,infaro,30,infaro,30,infaro,42,85
infaro,30,infaro,30,infaro,30,infaroup,10,35
infaro,30,infaro,30,infaro,30,infaroup,11,35
infaro,30,infaro,30,infaro,30,infaroup,12,25
infaro,30,infaro,30,infaro,30,infaroup,13,15
infaro,30,infaro,30,infaro,30,infaroup,14,5
infaro,30,infaro,30,infaro,30,infaroup,15,-5
infaro,30,infaro,30,infaro,30,infaroup,16,-5
infaro,30,infaro,30,infaro,30,infaroup,17,-5
infaro,30,infaro,30,infaro,30,infaroup,18,-5
infaro,30,infaro,30,infaro,30,infaroup,19,-5
infaro,30,infaro,30,infaro,30,infaroup,20,-5
infaro,30,infaro,30,infaro,30,infaroup,21,-5
infaro,30,infaro,30,infaro,30,infaroup,22,0
infaro,30,infaro,30,infaro,30,infaroup,23,0
infaro,30,infaro,30,infaro,30,infaroup,24,0
infaro,30,infaro,30,infaro,30,infaroup,25,0
infaro,30,infaro,30,infaro,30,infaroup,26,105
infaro,30,infaro,30,infaro,30,infaroup,27,5
infaro,30,infaro,30,infaro,30,infaroup,28,15
infaro,30,infaro,30,infaro,30,infaroup,29,25
infaro,30,infaro,30,infaro,30,infaroup,30,245
infaro,30,infaro,30,infaro,30,infaroup,31,35
infaro,30,infaro,30,infaro,30,infaroup,32,35
infaro,30,infaro,30,infaro,30,infaroup,33,35
infaro,30,infaro,30,infaro,30,infaroup,34,35
infaro,30,infaro,30,infaro,30,infaroup,35,35
infaro,30,infaro,30,infaro,30,infaroup,36,35
infaro,30,infaro,30,infaro,30,infaroup,37,35
infaro,30,infaro,30,infaro,30,infaroup,38,35
infaro,30,infaro,30,infaro,30,infaroup,39,35
infaro,30,infaro,30,infaro,30,infaroup,40,35
infaro,30,infaro,30,infaro,30,infaroup,41,35
infaro,30,infaro,30,infaro,30,infaroup,42,35
infaro,30,infaro,30,infaro,30,outfaro,10,35
infaro,30,infaro,30,infaro,30,outfaro,11,35
infaro,30,infaro,30,infaro,30,outfaro,12,25
infaro,30,infaro,30,infaro,30,outfaro,13,15
infaro,30,infaro,30,infaro,30,outfaro,14,5
infaro,30,infaro,30,infaro,30,outfaro,15,-5
infaro,30,infaro,30,infaro,30,outfaro,16,-5
infaro,30,infaro,30,infaro,30,outfaro,17,-5
infaro,30,infaro,30,infaro,30,outfaro,18,-5
infaro,30,infaro,30,infaro,30,outfaro,19,-5
infaro,30,infaro,30,infaro,30,outfaro,20,-5
infaro,30,infaro,30,infaro,30,outfaro,21,-5
infaro,30,infaro,30,infaro,30,outfaro,22,-5
infaro,30,infaro,30,infaro,30,outfaro,23,0
infaro,30,infaro,30,infaro,30,outfaro,24,0
infaro,30,infaro,30,infaro,30,outfaro,25,0
infaro,30,infaro,30,infaro,30,outfaro,26,0
infaro,30,infaro,30,infaro,30,outfaro,27,5
infaro,30,infaro,30,infaro,30,outfaro,28,15
infaro,30,infaro,30,infaro,30,outfaro,29,25
infaro,30,infaro,30,infaro,30,outfaro,30,70
infaro,30,infaro,30,infaro,30,outfaro,31,245
infaro,30,infaro,30,infaro,30,outfaro,32,35
infaro,30,infaro,30,infaro,30,outfaro,33,35
infaro,30,infaro,30,infaro,30,outfaro,34,35
infaro,30,infaro,30,infaro,30,outfaro,35,35
infaro,30,infaro,30,infaro,30,outfaro,36,35
infaro,30,infaro,30,infaro,30,outfaro,37,35
infaro,30,infaro,30,infaro,30,outfaro,38,35
infaro,30,infaro,30,infaro,30,outfaro,39,35
infaro,30,infaro,30,infaro,30,outfaro,40,35
infaro,30,infaro,30,infaro,30,outfaro,41,35
infaro,30,infaro,30,infaro,30,outfaro,42,35
infaro,30,infaro,30,infaro,30,outfaroup,10,35
infaro,30,infaro,30,infaro,30,outfaroup,11,35
infaro,30,infaro,30,infaro,30,outfaroup,12,30
infaro,30,infaro,30,infaro,30,outfaroup,13,20
infaro,30,infaro,30,infaro,30,outfaroup,14,10
infaro,30,infaro,30,infaro,30,outfaroup,15,0
infaro,30,infaro,30,infaro,30,outfaroup,16,-5
infaro,30,infaro,30,infaro,30,outfaroup,17,-5
infaro,30,infaro,30,infaro,30,outfaroup,18,-5
infaro,30,infaro,30,infaro,30,outfaroup,19,-5
infaro,30,infaro,30,infaro,30,outfaroup,20,-5
infaro,30,infaro,30,infaro,30,outfaroup,21,-5
infaro,30,infaro,30,infaro,30,outfaroup,22,-5
infaro,30,infaro,30,infaro,30,outfaroup,23,0
infaro,30,infaro,30,infaro,30,outfaroup,24,0
infaro,30,infaro,30,infaro,30,outfaroup,25,0
infaro,30,infaro,30,infaro,30,outfaroup,26,0
infaro,30,infaro,30,infaro,30,outfaroup,27,0
infaro,30,infaro,30,infaro,30,outfaroup,28,10
infaro,30,infaro,30,infaro,30,outfaroup,29,20
infaro,30,infaro,30,infaro,30,outfaroup,30,30
infaro,30,infaro,30,infaro,30,outfaroup,31,245
infaro,30,infaro,30,infaro,30,outfaroup,32,35
infaro,30,infaro,30,infaro,30,outfaroup,33,35
infaro,30,infaro,30,infaro,30,outfaroup,34,35
infaro,30,infaro,30,infaro,30,outfaroup,35,35
infaro,30,infaro,30,infaro,30,outfaroup,36,35
infaro,30,infaro,30,infaro,30,outfaroup,37,35
infaro,30,infaro,30,infaro,30,outfaroup,38,35
infaro,30,infaro,30,infaro,30,outfaroup,39,35
infaro,30,infaro,30,infaro,30,outfaroup,40,35
infaro,30,infaro,30,infaro,30,outfaroup,41,35
infaro,30,infaro,30,infaro,30,outfaroup,42,35
