maintained,technique,is,OUTFAROUP,and,the,number,is,20
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,50,55
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,51,60
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,2,120
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,3,120
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,4,120
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,5,120
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,6,120
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,7,120
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,8,120
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,9,120
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,10,120
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,11,120
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,12,120
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,13,120
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,14,120
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,15,120
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,16,120
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,17,120
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,18,120
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,19,120
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,20,125
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,21,120
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,22,120
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,23,120
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,24,120
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,25,120
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,26,120
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,27,120
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,28,120
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,29,120
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,30,120
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,31,120
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,32,120
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,33,120
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,34,120
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,35,120
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,36,120
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,37,120
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,38,120
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,39,125
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,40,115
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,41,110
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,42,105
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,43,100
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,44,95
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,45,90
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,46,85
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,47,80
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,48,75
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,49,70
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,50,65
outfaroup,20,outfaroup,20,outfaroup,20,slipcut,51,60
outfaroup,20,outfaroup,20,outfaroup,20,peal,2,105
outfaroup,20,outfaroup,20,outfaroup,20,peal,3,100
outfaroup,20,outfaroup,20,outfaroup,20,peal,4,85
outfaroup,20,outfaroup,20,outfaroup,20,peal,5,80
outfaroup,20,outfaroup,20,outfaroup,20,peal,6,65
outfaroup,20,outfaroup,20,outfaroup,20,peal,7,60
outfaroup,20,outfaroup,20,outfaroup,20,peal,8,45
outfaroup,20,outfaroup,20,outfaroup,20,peal,9,40
outfaroup,20,outfaroup,20,outfaroup,20,peal,10,25
outfaroup,20,outfaroup,20,outfaroup,20,peal,11,20
outfaroup,20,outfaroup,20,outfaroup,20,peal,12,5
outfaroup,20,outfaroup,20,outfaroup,20,peal,13,5
outfaroup,20,outfaroup,20,outfaroup,20,peal,14,0
outfaroup,20,outfaroup,20,outfaroup,20,peal,15,5
