maintained,technique,is,CUT,and,the,number,is,30
cut,30,cut,30,cut,30,cut,51,-10
cut,30,cut,30,cut,30,slipcut,2,-10
cut,30,cut,30,cut,30,slipcut,3,-10
cut,30,cut,30,cut,30,slipcut,4,-10
cut,30,cut,30,cut,30,slipcut,5,-10
cut,30,cut,30,cut,30,slipcut,6,-10
cut,30,cut,30,cut,30,slipcut,7,-10
cut,30,cut,30,cut,30,slipcut,8,-10
cut,30,cut,30,cut,30,slipcut,9,-10
cut,30,cut,30,cut,30,slipcut,10,-10
cut,30,cut,30,cut,30,slipcut,11,-10
cut,30,cut,30,cut,30,slipcut,12,-10
cut,30,cut,30,cut,30,slipcut,13,-10
cut,30,cut,30,cut,30,slipcut,14,-10
cut,30,cut,30,cut,30,slipcut,15,-10
cut,30,cut,30,cut,30,slipcut,16,-10
cut,30,cut,30,cut,30,slipcut,17,-10
cut,30,cut,30,cut,30,slipcut,18,-10
cut,30,cut,30,cut,30,slipcut,19,-10
cut,30,cut,30,cut,30,slipcut,20,-10
cut,30,cut,30,cut,30,slipcut,21,-10
cut,30,cut,30,cut,30,slipcut,22,-10
cut,30,cut,30,cut,30,slipcut,23,0
cut,30,cut,30,cut,30,slipcut,24,-10
cut,30,cut,30,cut,30,slipcut,25,-10
cut,30,cut,30,cut,30,slipcut,26,-10
cut,30,cut,30,cut,30,slipcut,27,-10
cut,30,cut,30,cut,30,slipcut,28,-10
cut,30,cut,30,cut,30,slipcut,29,-10
cut,30,cut,30,cut,30,slipcut,30,-10
cut,30,cut,30,cut,30,slipcut,31,-10
cut,30,cut,30,cut,30,slipcut,32,-10
cut,30,cut,30,cut,30,slipcut,33,-10
cut,30,cut,30,cut,30,slipcut,34,-10
cut,30,cut,30,cut,30,slipcut,35,-10
cut,30,cut,30,cut,30,slipcut,36,-10
cut,30,cut,30,cut,30,slipcut,37,-10
cut,30,cut,30,cut,30,slipcut,38,-10
cut,30,cut,30,cut,30,slipcut,39,-10
cut,30,cut,30,cut,30,slipcut,40,-10
cut,30,cut,30,cut,30,slipcut,41,-10
cut,30,cut,30,cut,30,slipcut,42,-10
cut,30,cut,30,cut,30,slipcut,43,-10
cut,30,cut,30,cut,30,slipcut,44,-10
cut,30,cut,30,cut,30,slipcut,45,-10
cut,30,cut,30,cut,30,slipcut,46,-10
cut,30,cut,30,cut,30,slipcut,47,-10
cut,30,cut,30,cut,30,slipcut,48,-10
cut,30,cut,30,cut,30,slipcut,49,-10
cut,30,cut,30,cut,30,slipcut,50,-10
cut,30,cut,30,cut,30,slipcut,51,-10
cut,30,cut,30,cut,30,slipcut,2,-10
cut,30,cut,30,cut,30,slipcut,3,-10
cut,30,cut,30,cut,30,slipcut,4,-10
cut,30,cut,30,cut,30,slipcut,5,-10
cut,30,cut,30,cut,30,slipcut,6,-10
cut,30,cut,30,cut,30,slipcut,7,-10
cut,30,cut,30,cut,30,slipcut,8,-10
cut,30,cut,30,cut,30,slipcut,9,-10
cut,30,cut,30,cut,30,slipcut,10,-10
cut,30,cut,30,cut,30,slipcut,11,-10
