maintained,technique,is,OUTFARO,and,the,number,is,20
slipcut,10,outfaro,20,outfaro,20,outfaro,20,100
slipcut,11,outfaro,20,outfaro,20,outfaro,20,100
slipcut,12,outfaro,20,outfaro,20,outfaro,20,100
slipcut,13,outfaro,20,outfaro,20,outfaro,20,110
slipcut,14,outfaro,20,outfaro,20,outfaro,20,110
slipcut,15,outfaro,20,outfaro,20,outfaro,20,110
slipcut,16,outfaro,20,outfaro,20,outfaro,20,110
slipcut,17,outfaro,20,outfaro,20,outfaro,20,110
slipcut,18,outfaro,20,outfaro,20,outfaro,20,110
slipcut,19,outfaro,20,outfaro,20,outfaro,20,110
slipcut,20,outfaro,20,outfaro,20,outfaro,20,110
slipcut,21,outfaro,20,outfaro,20,outfaro,20,110
slipcut,22,outfaro,20,outfaro,20,outfaro,20,110
slipcut,23,outfaro,20,outfaro,20,outfaro,20,110
slipcut,24,outfaro,20,outfaro,20,outfaro,20,110
slipcut,25,outfaro,20,outfaro,20,outfaro,20,110
slipcut,26,outfaro,20,outfaro,20,outfaro,20,110
slipcut,27,outfaro,20,outfaro,20,outfaro,20,110
slipcut,28,outfaro,20,outfaro,20,outfaro,20,110
slipcut,29,outfaro,20,outfaro,20,outfaro,20,110
slipcut,30,outfaro,20,outfaro,20,outfaro,20,110
slipcut,31,outfaro,20,outfaro,20,outfaro,20,110
slipcut,32,outfaro,20,outfaro,20,outfaro,20,110
slipcut,33,outfaro,20,outfaro,20,outfaro,20,110
slipcut,34,outfaro,20,outfaro,20,outfaro,20,110
slipcut,35,outfaro,20,outfaro,20,outfaro,20,110
slipcut,36,outfaro,20,outfaro,20,outfaro,20,110
slipcut,37,outfaro,20,outfaro,20,outfaro,20,110
slipcut,38,outfaro,20,outfaro,20,outfaro,20,110
slipcut,39,outfaro,20,outfaro,20,outfaro,20,110
slipcut,40,outfaro,20,outfaro,20,outfaro,20,110
slipcut,41,outfaro,20,outfaro,20,outfaro,20,110
slipcut,42,outfaro,20,outfaro,20,outfaro,20,110
slipcut,43,outfaro,20,outfaro,20,outfaro,20,110
slipcut,44,outfaro,20,outfaro,20,outfaro,20,110
slipcut,45,outfaro,20,outfaro,20,outfaro,20,110
slipcut,46,outfaro,20,outfaro,20,outfaro,20,110
slipcut,47,outfaro,20,outfaro,20,outfaro,20,110
slipcut,48,outfaro,20,outfaro,20,outfaro,20,110
slipcut,49,outfaro,20,outfaro,20,outfaro,20,110
slipcut,50,outfaro,20,outfaro,20,outfaro,20,110
slipcut,51,outfaro,20,outfaro,20,outfaro,20,110
