maintained,technique,is,CUT,and,the,number,is,40
cut,40,slipcut,32,cut,40,cut,40,-10
cut,40,slipcut,33,cut,40,cut,40,-10
cut,40,slipcut,34,cut,40,cut,40,-10
cut,40,slipcut,35,cut,40,cut,40,-10
cut,40,slipcut,36,cut,40,cut,40,-10
cut,40,slipcut,37,cut,40,cut,40,-10
cut,40,slipcut,38,cut,40,cut,40,-10
cut,40,slipcut,39,cut,40,cut,40,-10
cut,40,slipcut,40,cut,40,cut,40,-10
cut,40,slipcut,41,cut,40,cut,40,0
cut,40,slipcut,42,cut,40,cut,40,-10
cut,40,slipcut,43,cut,40,cut,40,-10
cut,40,slipcut,44,cut,40,cut,40,-10
cut,40,slipcut,45,cut,40,cut,40,-10
cut,40,slipcut,46,cut,40,cut,40,-10
cut,40,slipcut,47,cut,40,cut,40,-10
cut,40,slipcut,48,cut,40,cut,40,-10
cut,40,slipcut,49,cut,40,cut,40,-10
cut,40,slipcut,50,cut,40,cut,40,-10
cut,40,slipcut,51,cut,40,cut,40,-10
cut,40,peal,2,cut,40,cut,40,-10
cut,40,peal,3,cut,40,cut,40,-10
cut,40,peal,4,cut,40,cut,40,-10
cut,40,peal,5,cut,40,cut,40,-10
cut,40,peal,6,cut,40,cut,40,-10
cut,40,peal,7,cut,40,cut,40,-10
cut,40,peal,8,cut,40,cut,40,-10
cut,40,peal,9,cut,40,cut,40,-10
cut,40,peal,10,cut,40,cut,40,-10
cut,40,peal,11,cut,40,cut,40,-10
cut,40,peal,12,cut,40,cut,40,-10
cut,40,peal,13,cut,40,cut,40,0
cut,40,peal,14,cut,40,cut,40,-10
cut,40,peal,15,cut,40,cut,40,0
cut,40,peal,16,cut,40,cut,40,-10
cut,40,peal,17,cut,40,cut,40,0
cut,40,peal,18,cut,40,cut,40,-10
cut,40,peal,19,cut,40,cut,40,0
cut,40,peal,20,cut,40,cut,40,-10
cut,40,peal,21,cut,40,cut,40,0
cut,40,peal,22,cut,40,cut,40,-10
cut,40,peal,23,cut,40,cut,40,0
cut,40,peal,24,cut,40,cut,40,-10
cut,40,peal,25,cut,40,cut,40,0
cut,40,peal,26,cut,40,cut,40,-10
cut,40,peal,27,cut,40,cut,40,0
cut,40,peal,28,cut,40,cut,40,-10
cut,40,peal,29,cut,40,cut,40,0
cut,40,peal,30,cut,40,cut,40,-10
cut,40,peal,31,cut,40,cut,40,0
cut,40,peal,32,cut,40,cut,40,-10
cut,40,peal,33,cut,40,cut,40,0
cut,40,peal,34,cut,40,cut,40,-10
cut,40,peal,35,cut,40,cut,40,0
cut,40,peal,36,cut,40,cut,40,-10
cut,40,peal,37,cut,40,cut,40,0
cut,40,peal,38,cut,40,cut,40,-10
cut,40,peal,39,cut,40,cut,40,0
cut,40,peal,40,cut,40,cut,40,-10
cut,40,peal,41,cut,40,cut,40,10
cut,40,peal,42,cut,40,cut,40,-10
cut,40,peal,43,cut,40,cut,40,10
cut,40,peal,44,cut,40,cut,40,-10
cut,40,peal,45,cut,40,cut,40,10
cut,40,peal,46,cut,40,cut,40,-10
cut,40,peal,47,cut,40,cut,40,10
cut,40,peal,48,cut,40,cut,40,-10
cut,40,peal,49,cut,40,cut,40,10
cut,40,peal,50,cut,40,cut,40,-10
cut,40,peal,51,cut,40,cut,40,10
cut,40,pealup,2,cut,40,cut,40,-10
cut,40,pealup,3,cut,40,cut,40,-10
cut,40,pealup,4,cut,40,cut,40,-10
cut,40,pealup,5,cut,40,cut,40,-10
cut,40,pealup,6,cut,40,cut,40,-10
