maintained,technique,is,PEAL,and,the,number,is,20
peal,20,peal,20,peal,20,slipcut,36,-10
peal,20,peal,20,peal,20,slipcut,37,-10
peal,20,peal,20,peal,20,slipcut,38,-10
peal,20,peal,20,peal,20,slipcut,39,-10
peal,20,peal,20,peal,20,slipcut,40,-10
peal,20,peal,20,peal,20,slipcut,41,-10
peal,20,peal,20,peal,20,slipcut,42,-10
peal,20,peal,20,peal,20,slipcut,43,0
peal,20,peal,20,peal,20,slipcut,44,0
peal,20,peal,20,peal,20,slipcut,45,0
peal,20,peal,20,peal,20,slipcut,46,0
peal,20,peal,20,peal,20,slipcut,47,0
peal,20,peal,20,peal,20,slipcut,48,0
peal,20,peal,20,peal,20,slipcut,49,0
peal,20,peal,20,peal,20,slipcut,50,0
peal,20,peal,20,peal,20,slipcut,51,0
peal,20,peal,20,peal,20,peal,2,310
peal,20,peal,20,peal,20,peal,3,310
peal,20,peal,20,peal,20,peal,4,310
peal,20,peal,20,peal,20,peal,5,310
peal,20,peal,20,peal,20,peal,6,310
peal,20,peal,20,peal,20,peal,7,310
peal,20,peal,20,peal,20,peal,8,310
peal,20,peal,20,peal,20,peal,9,310
peal,20,peal,20,peal,20,peal,10,310
peal,20,peal,20,peal,20,peal,11,310
peal,20,peal,20,peal,20,peal,12,310
peal,20,peal,20,peal,20,peal,13,310
peal,20,peal,20,peal,20,peal,14,310
peal,20,peal,20,peal,20,peal,15,310
peal,20,peal,20,peal,20,peal,16,310
peal,20,peal,20,peal,20,peal,17,310
peal,20,peal,20,peal,20,peal,18,310
peal,20,peal,20,peal,20,peal,19,310
peal,20,peal,20,peal,20,peal,20,510
peal,20,peal,20,peal,20,peal,21,300
peal,20,peal,20,peal,20,peal,22,290
peal,20,peal,20,peal,20,peal,23,280
peal,20,peal,20,peal,20,peal,24,270
peal,20,peal,20,peal,20,peal,25,260
peal,20,peal,20,peal,20,peal,26,250
peal,20,peal,20,peal,20,peal,27,240
peal,20,peal,20,peal,20,peal,28,230
peal,20,peal,20,peal,20,peal,29,220
peal,20,peal,20,peal,20,peal,30,210
peal,20,peal,20,peal,20,peal,31,200
peal,20,peal,20,peal,20,peal,32,190
peal,20,peal,20,peal,20,peal,33,180
peal,20,peal,20,peal,20,peal,34,170
peal,20,peal,20,peal,20,peal,35,160
peal,20,peal,20,peal,20,peal,36,150
peal,20,peal,20,peal,20,peal,37,140
peal,20,peal,20,peal,20,peal,38,130
peal,20,peal,20,peal,20,peal,39,120
peal,20,peal,20,peal,20,peal,40,110
peal,20,peal,20,peal,20,peal,41,110
peal,20,peal,20,peal,20,peal,42,90
peal,20,peal,20,peal,20,peal,43,90
peal,20,peal,20,peal,20,peal,44,70
peal,20,peal,20,peal,20,peal,45,70
peal,20,peal,20,peal,20,peal,46,50
peal,20,peal,20,peal,20,peal,47,50
peal,20,peal,20,peal,20,peal,48,30
peal,20,peal,20,peal,20,peal,49,30
peal,20,peal,20,peal,20,peal,50,10
peal,20,peal,20,peal,20,peal,51,10
peal,20,peal,20,peal,20,pealup,2,290
peal,20,peal,20,peal,20,pealup,3,290
peal,20,peal,20,peal,20,pealup,4,270
peal,20,peal,20,peal,20,pealup,5,270
peal,20,peal,20,peal,20,pealup,6,250
peal,20,peal,20,peal,20,pealup,7,250
peal,20,peal,20,peal,20,pealup,8,230
peal,20,peal,20,peal,20,pealup,9,230
peal,20,peal,20,peal,20,pealup,10,210
peal,20,peal,20,peal,20,pealup,11,210
peal,20,peal,20,peal,20,pealup,12,190
peal,20,peal,20,peal,20,pealup,13,190
peal,20,peal,20,peal,20,pealup,14,170
peal,20,peal,20,peal,20,pealup,15,170
